Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,2748.4,4059.1,3569.2,4249.0
2.0,2749.2,4049.5,3569.6,4254.5
3.0,2746.1,4049.7,3573.1,4256.4
4.0,2747.1,4039.6,3572.3,4257.3
5.0,2745.6,4037.6,3571.8,4257.8
6.0,2744.7,4032.8,3571.5,4260.0
7.0,2744.0,4032.4,3571.3,4261.5
8.0,2744.6,4029.4,3571.1,4262.6
9.0,2745.2,4027.0,3569.8,4263.5
10.0,2744.6,4025.1,3568.7,4264.2
11.0,2744.1,4027.7,3566.7,4264.8
12.0,2743.7,4027.0,3567.0,4265.4
13.0,2743.4,4026.3,3567.3,4265.8
14.0,2744.0,4025.8,3567.6,4266.2
15.0,2744.5,4026.1,3567.8,4266.5
16.0,2744.9,4028.1,3567.9,4266.8
17.0,2744.5,4029.8,3568.9,4266.2
18.0,2744.9,4028.3,3569.8,4265.8
19.0,2745.2,4028.4,3570.5,4265.3
20.0,2745.5,4030.0,3571.3,4264.2
21.0,2745.7,4033.0,3571.2,4263.4
22.0,2746.0,4032.7,3570.4,4262.6
23.0,2746.2,4032.5,3569.6,4261.9
24.0,2746.4,4035.2,3568.9,4261.3
25.0,2746.6,4033.4,3569.0,4259.8
26.0,2746.7,4033.2,3569.8,4258.5
27.0,2746.9,4031.6,3570.5,4257.2
28.0,2747.0,4032.9,3570.4,4256.7
29.0,2747.2,4031.3,3570.4,4255.6
30.0,2747.3,4032.6,3571.1,4254.5
31.0,2747.4,4032.4,3571.6,4253.6
32.0,2746.9,4032.2,3572.2,4252.7
33.0,2747.1,4032.7,3572.1,4252.7
34.0,2747.3,4033.2,3571.9,4251.9
35.0,2748.1,4035.0,3572.5,4251.9
36.0,2749.6,4034.0,3572.3,4251.2
37.0,2749.5,4036.4,3572.1,4250.4
38.0,2749.5,4035.9,3572.0,4249.7
39.0,2749.5,4034.9,3571.2,4249.1
40.0,2749.4,4033.3,3570.5,4249.4
41.0,2749.4,4035.7,3570.5,4249.6
42.0,2750.1,4035.3,3569.8,4249.0
43.0,2750.1,4037.6,3569.8,4248.4
44.0,2750.1,4035.8,3569.8,4248.5
45.0,2749.4,4038.0,3570.5,4247.9
46.0,2748.8,4040.1,3571.1,4248.3
47.0,2748.8,4038.1,3571.7,4248.6
48.0,2748.8,4035.6,3572.2,4248.9
49.0,2748.3,4033.3,3572.7,4249.1
50.0,2747.7,4034.4,3573.2,4248.5
51.0,2747.9,4035.4,3574.3,4248.0
52.0,2748.0,4033.8,3575.3,4247.5
53.0,2748.8,4032.2,3576.9,4247.0
54.0,2749.5,4032.1,3577.7,4246.5
55.0,2750.2,4032.0,3578.5,4246.1
56.0,2750.2,4031.8,3579.3,4246.6
57.0,2750.2,4029.8,3580.0,4246.1
58.0,2750.2,4027.9,3580.6,4245.7
59.0,2750.1,4027.4,3581.2,4245.4
60.0,2750.8,4026.9,3581.1,4245.0
61.0,2752.0,4026.4,3581.1,4245.3
