数据序列,设备号,测量值
0,0,3070
0,1,4180
0,2,3130
0,3,3880
1,0,3070
1,1,4180
1,2,3130
1,3,3870
2,0,3080
2,1,4130
2,2,3140
2,3,3880
3,0,3080
3,1,4160
3,2,3140
3,3,3880
4,0,3090
4,1,4380
4,2,3140
4,3,3870
5,0,3090
5,1,4600
5,2,3150
5,3,3870
6,0,3090
6,1,4440
6,2,3160
6,3,3870
7,0,3080
7,1,4350
7,2,3150
7,3,3870
8,0,3080
8,1,4310
8,2,3150
8,3,3870
9,0,3070
9,1,4520
9,2,3150
9,3,3870
10,0,3070
10,1,4440
10,2,3150
10,3,3880
11,0,3060
11,1,4460
11,2,3140
11,3,3880
12,0,3050
12,1,4380
12,2,3130
12,3,3880
13,0,3050
13,1,4560
13,2,3130
13,3,3880
14,0,3050
14,1,4650
14,2,3130
14,3,3870
15,0,3060
15,1,4670
15,2,3140
15,3,3870
16,0,3070
16,1,4690
16,2,3150
16,3,3880
17,0,3080
17,1,4720
17,2,3150
17,3,3870
18,0,3070
18,1,4780
18,2,3150
18,3,3870
19,0,3070
19,1,4810
19,2,3150
19,3,3880
20,0,3070
20,1,4830
20,2,3140
20,3,3880
21,0,3070
21,1,4830
21,2,3140
21,3,3880
22,0,3060
22,1,4830
22,2,3140
22,3,3870
23,0,3060
23,1,4840
23,2,3140
23,3,3870
24,0,3050
24,1,4850
24,2,3150
24,3,3880
25,0,3070
25,1,4860
25,2,3140
25,3,3880
26,0,3060
26,1,4890
26,2,3140
26,3,3870
27,0,3060
27,1,4870
27,2,3150
27,3,3870
28,0,3060
28,1,4880
28,2,3150
28,3,3870
29,0,3060
29,1,4920
29,2,3150
29,3,3860
30,0,3050
30,1,4910
30,2,3150
30,3,3860
31,0,3050
31,1,4850
31,2,3160
31,3,3860
32,0,3050
32,1,4620
32,2,3150
32,3,3870
33,0,3050
33,1,4560
33,2,3150
33,3,3880
34,0,3050
34,1,4660
34,2,3160
34,3,3870
35,0,3060
35,1,4720
35,2,3150
35,3,3870
36,0,3060
36,1,4750
36,2,3150
36,3,3880
37,0,3060
37,1,4690
37,2,3140
37,3,3880
38,0,3070
38,1,4610
38,2,3150
38,3,3880
39,0,3060
39,1,4690
39,2,3150
39,3,3880
40,0,3060
40,1,4750
40,2,3150
40,3,3880
41,0,3060
41,1,4780
41,2,3150
41,3,3880
42,0,3060
42,1,4810
42,2,3160
42,3,3880
43,0,3060
43,1,4820
43,2,3160
43,3,3870
44,0,3070
44,1,4800
44,2,3160
44,3,3870
45,0,3060
45,1,4800
45,2,3160
45,3,3880
46,0,3060
46,1,4790
46,2,3160
46,3,3880
47,0,3060
47,1,4780
47,2,3160
47,3,3870
48,0,3060
48,1,4570
48,2,3160
48,3,3870
49,0,3060
49,1,4430
49,2,3160
49,3,3870
50,0,3070
50,1,4310
50,2,3170
50,3,3880
51,0,3060
51,1,4470
51,2,3170
51,3,3870
52,0,3060
52,1,4560
52,2,3170
52,3,3870
53,0,3050
53,1,4650
53,2,3160
53,3,3880
54,0,3050
54,1,4710
54,2,3140
54,3,3870
55,0,3060
55,1,4740
55,2,3140
55,3,3880
56,0,3060
56,1,4770
56,2,3150
56,3,3870
57,0,3070
57,1,4790
57,2,3150
57,3,3870
58,0,3060
58,1,4810
58,2,3150
58,3,3870
59,0,3070
59,1,4830
59,2,3150
59,3,3870
60,0,3070
60,1,4830
60,2,3150
60,3,3870
61,0,3070
61,1,4860
61,2,3140
61,3,3870
62,0,3060
62,1,4910
62,2,3150
62,3,3870
63,0,3060
63,1,4930
63,2,3160
63,3,3870
64,0,3060
64,1,4940
64,2,3160
64,3,3880
65,0,3070
65,1,4940
65,2,3160
65,3,3890
66,0,3070
66,1,4940
66,2,3160
66,3,3890
67,0,3060
67,1,4940
67,2,3150
67,3,3880
68,0,3070
68,1,4920
68,2,3160
68,3,3880
69,0,3070
69,1,4890
69,2,3170
69,3,3880
70,0,3070
70,1,4770
70,2,3170
70,3,3870
71,0,3060
71,1,4570
71,2,3160
71,3,3870
72,0,3060
72,1,4440
72,2,3150
72,3,3890
73,0,3070
73,1,4350
73,2,3140
73,3,3900
74,0,3060
74,1,4300
74,2,3130
74,3,3890
75,0,3060
75,1,4240
75,2,3140
75,3,3890
76,0,3060
76,1,4210
76,2,3150
76,3,3880
77,0,3080
77,1,4180
77,2,3150
77,3,3880
78,0,3070
78,1,4140
78,2,3150
78,3,3880
79,0,3060
79,1,4120
79,2,3160
79,3,3890
80,0,3060
80,1,4110
80,2,3150
80,3,3880
81,0,3060
81,1,4060
81,2,3150
81,3,3870
82,0,3060
82,1,4360
82,2,3140
82,3,3890
83,0,3070
83,1,4530
83,2,3150
83,3,3890
84,0,3080
84,1,4680
84,2,3150
84,3,3900
85,0,3070
85,1,4510
85,2,3140
85,3,3890
86,0,3070
86,1,4420
86,2,3140
86,3,3890
87,0,3050
87,1,4370
87,2,3150
87,3,3890
88,0,3060
88,1,4360
88,2,3150
88,3,3880
89,0,3070
89,1,4410
89,2,3150
89,3,3890
90,0,3070
90,1,4430
90,2,3150
90,3,3890
91,0,3060
91,1,4400
91,2,3160
91,3,3880
92,0,3060
92,1,4360
92,2,3160
92,3,3880
93,0,3060
93,1,4320
93,2,3160
93,3,3890
94,0,3060
94,1,4290
94,2,3150
94,3,3900
95,0,3070
95,1,4250
95,2,3150
95,3,3880
96,0,3070
96,1,4260
96,2,3150
96,3,3890
97,0,3080
97,1,4230
97,2,3160
97,3,3890
98,0,3080
98,1,4170
98,2,3160
98,3,3880
99,0,3070
99,1,4120
99,2,3160
99,3,3880
100,0,3070
100,1,4110
100,2,3160
100,3,3890
101,0,3070
101,1,4120
101,2,3160
101,3,3900
102,0,3060
102,1,4120
102,2,3150
102,3,3890
103,0,3070
103,1,4140
103,2,3150
103,3,3880
104,0,3070
104,1,4160
104,2,3150
104,3,3870
105,0,3060
105,1,4190
105,2,3150
105,3,3870
106,0,3060
106,1,4200
106,2,3140
106,3,3880
107,0,3060
107,1,4190
107,2,3140
107,3,3880
108,0,3070
108,1,4190
108,2,3150
108,3,3870
109,0,3070
109,1,4200
109,2,3160
109,3,3880
110,0,3070
110,1,4290
110,2,3160
110,3,3890
111,0,3060
111,1,4410
111,2,3150
111,3,3900
112,0,3060
112,1,4450
112,2,3160
112,3,3910
113,0,3060
113,1,4480
113,2,3140
113,3,3900
114,0,3060
114,1,4540
114,2,3140
114,3,3890
115,0,3070
115,1,4570
115,2,3150
115,3,3880
116,0,3080
116,1,4580
116,2,3150
116,3,3900
117,0,3090
117,1,4670
117,2,3160
117,3,3890
118,0,3080
118,1,4730
118,2,3160
118,3,3880
119,0,3080
119,1,4730
119,2,3150
119,3,3890
120,0,3080
120,1,4750
120,2,3160
120,3,3900
121,0,3080
121,1,4750
121,2,3160
121,3,3900
122,0,3070
122,1,4740
122,2,3160
122,3,3910
123,0,3070
123,1,4720
123,2,3150
123,3,3900
124,0,3070
124,1,4720
124,2,3150
124,3,3890
125,0,3070
125,1,4730
125,2,3140
125,3,3900
180,0,3070
180,1,3870
180,2,3130
180,3,4160
181,0,3060
181,1,3880
181,2,3130
181,3,4150
182,0,3060
182,1,3880
182,2,3140
182,3,4130
183,0,3070
183,1,3880
183,2,3140
183,3,4110
184,0,3070
184,1,3870
184,2,3140
184,3,4100
185,0,3070
185,1,3880
185,2,3140
185,3,4100
186,0,3060
186,1,3900
186,2,3130
186,3,4110
187,0,3060
187,1,3890
187,2,3130
187,3,4100
188,0,3050
188,1,3880
188,2,3130
188,3,4100
189,0,3060
189,1,3900
189,2,3130
189,3,4110
190,0,3070
190,1,3890
190,2,3130
190,3,4120
191,0,3070
191,1,3880
191,2,3130
191,3,4130
192,0,3060
192,1,3880
192,2,3130
192,3,4130
193,0,3070
193,1,3870
193,2,3130
193,3,4150
194,0,3070
194,1,3880
194,2,3130
194,3,4200
195,0,3070
195,1,3870
195,2,3140
195,3,4210
196,0,3080
196,1,3890
196,2,3140
196,3,4210
197,0,3070
197,1,3880
197,2,3140
197,3,4210
198,0,3070
198,1,3870
198,2,3140
198,3,4210
199,0,3070
199,1,3880
199,2,3140
199,3,4210
200,0,3070
200,1,3870
200,2,3140
200,3,4210
201,0,3070
201,1,3890
201,2,3140
201,3,4210
202,0,3070
202,1,3890
202,2,3150
202,3,4200
203,0,3070
203,1,3900
203,2,3130
203,3,4190
204,0,3070
204,1,3890
204,2,3130
204,3,4190
205,0,3080
205,1,3880
205,2,3130
205,3,4210
206,0,3070
206,1,3870
206,2,3140
206,3,4220
207,0,3070
207,1,3880
207,2,3140
207,3,4220
208,0,3060
208,1,3880
208,2,3150
208,3,4220
209,0,3080
209,1,3870
209,2,3150
209,3,4200
210,0,3080
210,1,3880
210,2,3150
210,3,4180
211,0,3080
211,1,3870
211,2,3150
211,3,4180
212,0,3080
212,1,3870
212,2,3150
212,3,4180
213,0,3080
213,1,3880
213,2,3150
213,3,4180
214,0,3080
214,1,3870
214,2,3150
214,3,4170
215,0,3070
215,1,3880
215,2,3150
215,3,4160
216,0,3070
216,1,3880
216,2,3150
216,3,4160
217,0,3080
217,1,3870
217,2,3150
217,3,4160
218,0,3070
218,1,3890
218,2,3150
218,3,4150
219,0,3070
219,1,3880
219,2,3150
219,3,4150
220,0,3080
220,1,3870
220,2,3130
220,3,4150
221,0,3060
221,1,3870
221,2,3130
221,3,4140
222,0,3070
222,1,3870
222,2,3140
222,3,4140
223,0,3060
223,1,3880
223,2,3140
223,3,4150
224,0,3060
224,1,3890
224,2,3140
224,3,4140
225,0,3050
225,1,3880
225,2,3130
225,3,4150
226,0,3050
226,1,3870
226,2,3130
226,3,4130
227,0,3030
227,1,3880
227,2,3140
227,3,4120
228,0,3060
228,1,3890
228,2,3150
228,3,4120
229,0,3060
229,1,3880
229,2,3150
229,3,4130
230,0,3060
230,1,3870
230,2,3150
230,3,4150
231,0,3070
231,1,3880
231,2,3160
231,3,4150
232,0,3060
232,1,3870
232,2,3160
232,3,4140
233,0,3060
233,1,3870
233,2,3140
233,3,4140
234,0,3050
234,1,3880
234,2,3140
234,3,4130
235,0,3050
235,1,3880
235,2,3150
235,3,4120
236,0,3060
236,1,3870
236,2,3140
236,3,4120
237,0,3060
237,1,3870
237,2,3140
237,3,4130
238,0,3070
238,1,3870
238,2,3140
238,3,4120
239,0,3070
239,1,3890
239,2,3140
239,3,4120
240,0,3080
240,1,3890
240,2,3150
240,3,4120
241,0,3070
241,1,3880
241,2,3140
241,3,4140
242,0,3070
242,1,3900
242,2,3150
242,3,4130
243,0,3070
243,1,3900
243,2,3150
243,3,4140
244,0,3070
244,1,3910
244,2,3150
244,3,4140
245,0,3060
245,1,3900
245,2,3150
245,3,4160
246,0,3060
246,1,3900
246,2,3140
246,3,4160
247,0,3070
247,1,3890
247,2,3150
247,3,4160
248,0,3060
248,1,3890
248,2,3150
248,3,4180
249,0,3060
249,1,3880
249,2,3150
249,3,4220
250,0,3060
250,1,3880
250,2,3150
250,3,4260
251,0,3070
251,1,3880
251,2,3140
251,3,4310
252,0,3070
252,1,3870
252,2,3140
252,3,4360
253,0,3070
253,1,3870
253,2,3130
253,3,4460
254,0,3060
254,1,3870
254,2,3130
254,3,4530
255,0,3070
255,1,3870
255,2,3150
255,3,4450
256,0,3080
256,1,3870
256,2,3150
256,3,4500
257,0,3080
257,1,3880
257,2,3140
257,3,4560
258,0,3090
258,1,3890
258,2,3130
258,3,4550
259,0,3080
259,1,3890
259,2,3130
259,3,4540
260,0,3070
260,1,3880
260,2,3130
260,3,4490
261,0,3060
261,1,3880
261,2,3130
261,3,4450
262,0,3050
262,1,3890
262,2,3140
262,3,4420
263,0,3030
263,1,3880
263,2,3150
263,3,4410
264,0,3050
264,1,3870
264,2,3150
264,3,4390
265,0,3050
265,1,3890
265,2,3150
265,3,4370
266,0,3050
266,1,3880
266,2,3150
266,3,4370
267,0,3060
267,1,3870
267,2,3150
267,3,4370
268,0,3060
268,1,3870
268,2,3150
268,3,4360
269,0,3050
269,1,3870
269,2,3150
269,3,4360
270,0,3050
270,1,3870
270,2,3150
270,3,4340
271,0,3050
271,1,3880
271,2,3150
271,3,4330
272,0,3050
272,1,3870
272,2,3160
272,3,4340
273,0,3060
273,1,3870
273,2,3150
273,3,4350
274,0,3060
274,1,3870
274,2,3160
274,3,4360
275,0,3070
275,1,3870
275,2,3160
275,3,4360
276,0,3060
276,1,3870
276,2,3150
276,3,4360
277,0,3060
277,1,3870
277,2,3160
277,3,4350
278,0,3060
278,1,3870
278,2,3150
278,3,4320
279,0,3070
279,1,3870
279,2,3140
279,3,4310
280,0,3060
280,1,3870
280,2,3150
280,3,4290
281,0,3060
281,1,3890
281,2,3150
281,3,4270
282,0,3050
282,1,3880
282,2,3130
282,3,4250
283,0,3050
283,1,3870
283,2,3140
283,3,4230
284,0,3060
284,1,3870
284,2,3140
284,3,4220
285,0,3070
285,1,3880
285,2,3140
285,3,4210
286,0,3060
286,1,3880
286,2,3140
286,3,4200
287,0,3070
287,1,3880
287,2,3140
287,3,4190
288,0,3070
288,1,3880
288,2,3140
288,3,4180
289,0,3070
289,1,3870
289,2,3140
289,3,4170
290,0,3070
290,1,3870
290,2,3140
290,3,4160
291,0,3060
291,1,3870
291,2,3150
291,3,4160
292,0,3050
292,1,3870
292,2,3150
292,3,4150
293,0,3050
293,1,3870
293,2,3150
293,3,4140
294,0,3050
294,1,3870
294,2,3150
294,3,4130
295,0,3060
295,1,3890
295,2,3160
295,3,4130
296,0,3080
296,1,3880
296,2,3160
296,3,4140
297,0,3070
297,1,3870
297,2,3150
297,3,4140
298,0,3070
298,1,3860
298,2,3160
298,3,4140
299,0,3060
299,1,3880
299,2,3150
299,3,4130
300,0,3070
300,1,3870
300,2,3150
300,3,4140
301,0,3060
301,1,3870
301,2,3160
301,3,4130
302,0,3050
302,1,3880
302,2,3150
302,3,4120
303,0,3050
303,1,3880
303,2,3160
303,3,4120
304,0,3060
304,1,3870
304,2,3160
304,3,4110
305,0,3050
305,1,3870
305,2,3160
305,3,4110
306,0,3060
306,1,3880
306,2,3160
306,3,4100
307,0,3070
307,1,3890
307,2,3160
307,3,4120
308,0,3070
308,1,3880
308,2,3160
308,3,4120
309,0,3070
309,1,3870
309,2,3150
309,3,4120
310,0,3080
310,1,3870
310,2,3150
310,3,4130
311,0,3080
311,1,3880
311,2,3160
311,3,4140
312,0,3070
312,1,3880
312,2,3160
312,3,4150
313,0,3070
313,1,3900
313,2,3160
313,3,4150
314,0,3070
314,1,3900
314,2,3150
314,3,4140
315,0,3070
315,1,3890
315,2,3140
315,3,4130
316,0,3070
316,1,3880
316,2,3130
316,3,4140
317,0,3070
317,1,3880
317,2,3130
317,3,4130
318,0,3070
318,1,3890
318,2,3130
318,3,4130
319,0,3070
319,1,3880
319,2,3130
319,3,4140
320,0,3070
320,1,3890
320,2,3130
320,3,4130
321,0,3070
321,1,3890
321,2,3130
321,3,4160
322,0,3060
322,1,3880
322,2,3130
322,3,4180
323,0,3060
323,1,3870
323,2,3130
323,3,4180
324,0,3060
324,1,3870
324,2,3140
324,3,4340
325,0,3060
325,1,3860
325,2,3140
325,3,4260
326,0,3070
326,1,3860
326,2,3150
326,3,4240
327,0,3050
327,1,3880
327,2,3140
327,3,4190
328,0,3070
328,1,3880
328,2,3140
328,3,4210
329,0,3070
329,1,3890
329,2,3130
329,3,4360
330,0,3060
330,1,3890
330,2,3140
330,3,4270
331,0,3070
331,1,3880
331,2,3140
331,3,4220
332,0,3080
332,1,3880
332,2,3150
332,3,4200
333,0,3070
333,1,3870
333,2,3140
333,3,4200
334,0,3080
334,1,3870
334,2,3140
334,3,4220
335,0,3080
335,1,3870
335,2,3140
335,3,4240
336,0,3080
336,1,3870
336,2,3150
336,3,4250
337,0,3080
337,1,3880
337,2,3150
337,3,4270
338,0,3080
338,1,3870
338,2,3140
338,3,4270
339,0,3080
339,1,3890
339,2,3140
339,3,4260
340,0,3080
340,1,3890
340,2,3130
340,3,4240
341,0,3080
341,1,3890
341,2,3130
341,3,4220
342,0,3080
342,1,3880
342,2,3130
342,3,4200
343,0,3060
343,1,3880
343,2,3130
343,3,4190
344,0,3060
344,1,3880
344,2,3140
344,3,4180
345,0,3060
345,1,3900
345,2,3130
345,3,4190
346,0,3070
346,1,3890
346,2,3130
346,3,4200
347,0,3070
347,1,3900
347,2,3130
347,3,4190
348,0,3060
348,1,3900
348,2,3140
348,3,4200
349,0,3070
349,1,3900
349,2,3150
349,3,4190
350,0,3070
350,1,3910
350,2,3130
350,3,4180
351,0,3070
351,1,3890
351,2,3140
351,3,4180
352,0,3070
352,1,3900
352,2,3140
352,3,4200
353,0,3070
353,1,3890
353,2,3140
353,3,4210
354,0,3080
354,1,3890
354,2,3150
354,3,4210
355,0,3090
355,1,3880
355,2,3150
355,3,4220
356,0,3090
356,1,3870
356,2,3150
356,3,4220
357,0,3090
357,1,3870
357,2,3150
357,3,4230
358,0,3080
358,1,3870
358,2,3150
358,3,4220
359,0,3070
359,1,3880
359,2,3150
359,3,4230
360,0,3070
360,1,3880
360,2,3160
360,3,4230
361,0,3070
361,1,3870
361,2,3160
361,3,4230
362,0,3080
362,1,3870
362,2,3160
362,3,4240
363,0,3090
363,1,3870
363,2,3160
363,3,4230
364,0,3090
364,1,3880
364,2,3160
364,3,4230
365,0,3080
365,1,3880
365,2,3160
365,3,4230
366,0,3070
366,1,3870
366,2,3150
366,3,4230
367,0,3070
367,1,3870
367,2,3130
367,3,4250
368,0,3070
368,1,3870
368,2,3140
368,3,4250
369,0,3070
369,1,3880
369,2,3140
369,3,4270
370,0,3070
370,1,3880
370,2,3140
370,3,4290
371,0,3070
371,1,3890
371,2,3150
371,3,4300
372,0,3060
372,1,3880
372,2,3150
372,3,4310
373,0,3070
373,1,3890
373,2,3150
373,3,4310
374,0,3080
374,1,3890
374,2,3150
374,3,4310
375,0,3090
375,1,3880
375,2,3160
375,3,4300
376,0,3070
376,1,3880
376,2,3160
376,3,4310
377,0,3060
377,1,3870
377,2,3160
377,3,4290
378,0,3060
378,1,3870
378,2,3160
378,3,4290
379,0,3060
379,1,3870
379,2,3160
379,3,4260
380,0,3060
380,1,3870
380,2,3160
380,3,4240
381,0,3060
381,1,3880
381,2,3150
381,3,4220
382,0,3060
382,1,3870
382,2,3130
382,3,4220
383,0,3060
383,1,3870
383,2,3130
383,3,4210
384,0,3060
384,1,3870
384,2,3140
384,3,4200
385,0,3060
385,1,3890
385,2,3140
385,3,4200
386,0,3070
386,1,3890
386,2,3140
386,3,4210
387,0,3080
387,1,3890
387,2,3140
387,3,4200
388,0,3080
388,1,3880
388,2,3140
388,3,4190
389,0,3070
389,1,3890
389,2,3150
389,3,4180
390,0,3070
390,1,3900
390,2,3150
390,3,4180
391,0,3070
391,1,3900
391,2,3140
391,3,4180
392,0,3090
392,1,3910
392,2,3150
392,3,4170
393,0,3090
393,1,3890
393,2,3150
393,3,4170
394,0,3080
394,1,3880
394,2,3140
394,3,4180
395,0,3080
395,1,3890
395,2,3140
395,3,4180
396,0,3080
396,1,3880
396,2,3140
396,3,4190
397,0,3080
397,1,3870
397,2,3150
397,3,4180
398,0,3070
398,1,3890
398,2,3160
398,3,4170
399,0,3080
399,1,3880
399,2,3150
399,3,4170
400,0,3070
400,1,3880
400,2,3150
400,3,4170
