数据序列,设备号,测量值
0,0,1510
0,1,3750
0,2,4690
0,3,5710
1,0,1520
1,1,3720
1,2,4680
1,3,5720
2,0,1530
2,1,3710
2,2,4690
2,3,5720
3,0,1510
3,1,3730
3,2,4690
3,3,5720
4,0,1510
4,1,3750
4,2,4690
4,3,5710
5,0,1500
5,1,3750
5,2,4690
5,3,5710
6,0,1510
6,1,3730
6,2,4680
6,3,5710
7,0,1510
7,1,3720
7,2,4680
7,3,5710
8,0,1520
8,1,3750
8,2,4680
8,3,5710
9,0,1530
9,1,3760
9,2,4690
9,3,5700
10,0,1520
10,1,3770
10,2,4690
10,3,5700
11,0,1510
11,1,3770
11,2,4690
11,3,5700
12,0,1510
12,1,3740
12,2,4690
12,3,5700
13,0,1510
13,1,3750
13,2,4690
13,3,5700
14,0,1510
14,1,3730
14,2,4680
14,3,5700
15,0,1510
15,1,3760
15,2,4680
15,3,5710
16,0,1510
16,1,3790
16,2,4680
16,3,5700
17,0,1510
17,1,3820
17,2,4680
17,3,5700
18,0,1510
18,1,3840
18,2,4670
18,3,5710
19,0,1500
19,1,3840
19,2,4670
19,3,5710
20,0,1510
20,1,3830
20,2,4680
20,3,5710
21,0,1510
21,1,3820
21,2,4680
21,3,5700
22,0,1520
22,1,3830
22,2,4680
22,3,5700
23,0,1520
23,1,3840
23,2,4680
23,3,5700
24,0,1520
24,1,3840
24,2,4680
24,3,5700
25,0,1520
25,1,3860
25,2,4680
25,3,5710
26,0,1510
26,1,3870
26,2,4680
26,3,5710
27,0,1510
27,1,3870
27,2,4680
27,3,5710
28,0,1510
28,1,3860
28,2,4680
28,3,5710
29,0,1510
29,1,3860
29,2,4680
29,3,5700
30,0,1510
30,1,3850
30,2,4680
30,3,5700
31,0,1510
31,1,3840
31,2,4680
31,3,5700
32,0,1500
32,1,3830
32,2,4680
32,3,5700
33,0,1500
33,1,3830
33,2,4680
33,3,5700
34,0,1510
34,1,3840
34,2,4680
34,3,5700
35,0,1510
35,1,3840
35,2,4680
35,3,5710
36,0,1510
36,1,3840
36,2,4680
36,3,5700
37,0,1510
37,1,3840
37,2,4680
37,3,5700
38,0,1510
38,1,3830
38,2,4680
38,3,5700
39,0,1510
39,1,3820
39,2,4680
39,3,5700
40,0,1500
40,1,3810
40,2,4680
40,3,5710
41,0,1500
41,1,3800
41,2,4680
41,3,5720
42,0,1500
42,1,3780
42,2,4680
42,3,5710
43,0,1500
43,1,3750
43,2,4680
43,3,5710
44,0,1500
44,1,3750
44,2,4680
44,3,5710
45,0,1490
45,1,3780
45,2,4670
45,3,5700
46,0,1490
46,1,3790
46,2,4670
46,3,5690
47,0,1500
47,1,3780
47,2,4670
47,3,5700
48,0,1500
48,1,3780
48,2,4660
48,3,5700
49,0,1500
49,1,3770
49,2,4670
49,3,5700
50,0,1500
50,1,3770
50,2,4680
50,3,5710
