数据序列,设备号,测量值
0,0,2960
0,1,4060
0,2,3460
0,3,4540
1,0,2900
1,1,4060
1,2,3450
1,3,4540
2,0,2930
2,1,4060
2,2,3460
2,3,4520
3,0,2930
3,1,4060
3,2,3460
3,3,4530
4,0,2930
4,1,4060
4,2,3470
4,3,4540
5,0,2950
5,1,4070
5,2,3470
5,3,4540
6,0,2970
6,1,4060
6,2,3470
6,3,4540
7,0,2950
7,1,4050
7,2,3470
7,3,4540
8,0,2930
8,1,4040
8,2,3470
8,3,4540
9,0,2930
9,1,4050
9,2,3470
9,3,4540
10,0,2960
10,1,4060
10,2,3470
10,3,4540
11,0,2920
11,1,4050
11,2,3460
11,3,4540
12,0,2900
12,1,4050
12,2,3460
12,3,4540
13,0,2920
13,1,4060
13,2,3460
13,3,4540
14,0,2910
14,1,4050
14,2,3460
14,3,4540
15,0,2890
15,1,4060
15,2,3460
15,3,4540
16,0,2910
16,1,4060
16,2,3460
16,3,4540
17,0,2920
17,1,4060
17,2,3460
17,3,4540
18,0,2940
18,1,4070
18,2,3460
18,3,4540
19,0,2930
19,1,4060
19,2,3460
19,3,4540
20,0,2960
20,1,4060
20,2,3460
20,3,4540
21,0,2940
21,1,4060
21,2,3470
21,3,4540
22,0,2960
22,1,4060
22,2,3470
22,3,4540
23,0,2960
23,1,4070
23,2,3470
23,3,4540
24,0,2900
24,1,4070
24,2,3470
24,3,4540
25,0,2920
25,1,4070
25,2,3480
25,3,4540
26,0,2920
26,1,4060
26,2,3480
26,3,4540
27,0,2970
27,1,4060
27,2,3480
27,3,4540
28,0,2940
28,1,4060
28,2,3480
28,3,4540
29,0,2940
29,1,4060
29,2,3470
29,3,4540
30,0,2930
30,1,4070
30,2,3470
30,3,4540
31,0,2900
31,1,4060
31,2,3470
31,3,4540
32,0,2950
32,1,4050
32,2,3460
32,3,4540
33,0,2970
33,1,4040
33,2,3460
33,3,4540
34,0,2950
34,1,4040
34,2,3460
34,3,4540
35,0,2900
35,1,4050
35,2,3470
35,3,4540
36,0,2900
36,1,4060
36,2,3470
36,3,4540
37,0,2920
37,1,4060
37,2,3470
37,3,4530
38,0,2970
38,1,4060
38,2,3470
38,3,4530
39,0,2960
39,1,4060
39,2,3470
39,3,4530
40,0,2960
40,1,4050
40,2,3460
40,3,4530
41,0,2900
41,1,4040
41,2,3460
41,3,4530
42,0,2900
42,1,4050
42,2,3460
42,3,4530
43,0,2920
43,1,4040
43,2,3460
43,3,4530
44,0,2920
44,1,4040
44,2,3460
44,3,4530
45,0,2940
45,1,4050
45,2,3460
45,3,4530
46,0,2970
46,1,4050
46,2,3460
46,3,4540
47,0,2970
47,1,4050
47,2,3460
47,3,4540
48,0,2900
48,1,4050
48,2,3460
48,3,4540
49,0,2950
49,1,4040
49,2,3460
49,3,4540
50,0,2940
50,1,4050
50,2,3460
50,3,4540
51,0,2920
51,1,4060
51,2,3460
51,3,4530
52,0,2910
52,1,4070
52,2,3460
52,3,4530
53,0,2940
53,1,4070
53,2,3470
53,3,4540
54,0,2940
54,1,4060
54,2,3470
54,3,4540
55,0,2890
55,1,4060
55,2,3470
55,3,4530
56,0,2900
56,1,4050
56,2,3460
56,3,4540
57,0,2960
57,1,4050
57,2,3460
57,3,4540
58,0,2890
58,1,4050
58,2,3470
58,3,4540
59,0,2940
59,1,4050
59,2,3460
59,3,4540
60,0,2910
60,1,4040
60,2,3460
60,3,4530
61,0,2940
61,1,4040
61,2,3470
61,3,4530
62,0,2950
62,1,4030
62,2,3470
62,3,4530
63,0,2900
63,1,4040
63,2,3470
63,3,4530
64,0,2940
64,1,4050
64,2,3460
64,3,4540
65,0,2890
65,1,4060
65,2,3460
65,3,4540
66,0,2910
66,1,4060
66,2,3460
66,3,4540
67,0,2920
67,1,4050
67,2,3460
67,3,4540
68,0,2900
68,1,4050
68,2,3460
68,3,4540
69,0,2960
69,1,4040
69,2,3460
69,3,4530
70,0,2900
70,1,4050
70,2,3460
70,3,4530
71,0,2900
71,1,4050
71,2,3460
71,3,4530
72,0,2940
72,1,4060
72,2,3460
72,3,4530
73,0,2940
73,1,4060
73,2,3460
73,3,4540
74,0,2900
74,1,4060
74,2,3460
74,3,4540
75,0,2920
75,1,4070
75,2,3460
75,3,4540
76,0,2960
76,1,4070
76,2,3460
76,3,4540
77,0,2920
77,1,4060
77,2,3460
77,3,4550
78,0,2960
78,1,4060
78,2,3460
78,3,4540
79,0,2930
79,1,4060
79,2,3460
79,3,4540
80,0,2940
80,1,4060
80,2,3460
80,3,4540
81,0,2910
81,1,4060
81,2,3460
81,3,4550
82,0,2910
82,1,4060
82,2,3460
82,3,4540
83,0,2880
83,1,4060
83,2,3460
83,3,4540
84,0,2910
84,1,4060
84,2,3460
84,3,4540
85,0,2910
85,1,4070
85,2,3460
85,3,4540
86,0,2940
86,1,4070
86,2,3460
86,3,4540
87,0,2950
87,1,4070
87,2,3460
87,3,4540
88,0,2890
88,1,4070
88,2,3460
88,3,4540
89,0,2890
89,1,4060
89,2,3460
89,3,4540
90,0,2950
90,1,4050
90,2,3460
90,3,4540
91,0,2950
91,1,4050
91,2,3460
91,3,4540
92,0,2960
92,1,4060
92,2,3460
92,3,4540
93,0,2440
93,1,4530
93,2,3460
93,3,4540
94,0,2450
94,1,4520
94,2,3460
94,3,4540
95,0,2450
95,1,4580
95,2,3460
95,3,4540
96,0,2450
96,1,4540
96,2,3460
96,3,4540
97,0,2450
97,1,4510
97,2,3460
97,3,4540
98,0,2450
98,1,4530
98,2,3460
98,3,4540
99,0,2450
99,1,4580
99,2,3460
99,3,4530
100,0,2450
100,1,4560
100,2,3460
100,3,4530
101,0,2450
101,1,4590
101,2,3460
101,3,4530
102,0,2450
102,1,4550
102,2,3460
102,3,4530
103,0,2450
103,1,4550
103,2,3470
103,3,4540
104,0,2440
104,1,4580
104,2,3470
104,3,4540
105,0,2430
105,1,4540
105,2,3470
105,3,4540
106,0,2430
106,1,4560
106,2,3470
106,3,4530
107,0,2430
107,1,4530
107,2,3460
107,3,4540
108,0,2430
108,1,4520
108,2,3450
108,3,4550
109,0,2430
109,1,4540
109,2,3450
109,3,4550
110,0,2430
110,1,4580
110,2,3460
110,3,4550
111,0,2430
111,1,4520
111,2,3460
111,3,4540
112,0,2430
112,1,4580
112,2,3460
112,3,4540
113,0,2440
113,1,4580
113,2,3460
113,3,4540
114,0,2450
114,1,4560
114,2,3460
114,3,4540
115,0,2440
115,1,4540
115,2,3460
115,3,4540
116,0,2440
116,1,4590
116,2,3460
116,3,4540
117,0,2440
117,1,4590
117,2,3460
117,3,4540
118,0,2440
118,1,4570
118,2,3460
118,3,4530
119,0,2440
119,1,4570
119,2,3460
119,3,4530
120,0,2440
120,1,4520
120,2,3460
120,3,4540
121,0,2440
121,1,4550
121,2,3460
121,3,4540
122,0,2430
122,1,4500
122,2,3470
122,3,4540
123,0,2440
123,1,4500
123,2,3460
123,3,4540
124,0,2450
124,1,4510
124,2,3460
124,3,4540
125,0,2450
125,1,4530
125,2,3460
125,3,4540
126,0,2450
126,1,4520
126,2,3460
126,3,4540
127,0,2450
127,1,4510
127,2,3470
127,3,4540
128,0,2450
128,1,4530
128,2,3470
128,3,4540
129,0,2440
129,1,4540
129,2,3470
129,3,4540
130,0,2440
130,1,4500
130,2,3470
130,3,4540
131,0,2440
131,1,4510
131,2,3470
131,3,4540
132,0,2430
132,1,4550
132,2,3470
132,3,4540
133,0,2440
133,1,4520
133,2,3470
133,3,4540
134,0,2450
134,1,4520
134,2,3460
134,3,4540
135,0,2450
135,1,4530
135,2,3460
135,3,4540
136,0,2450
136,1,4510
136,2,3460
136,3,4540
137,0,2450
137,1,4530
137,2,3460
137,3,4540
138,0,2450
138,1,4540
138,2,3460
138,3,4540
139,0,2450
139,1,4530
139,2,3460
139,3,4540
140,0,2440
140,1,4520
140,2,3460
140,3,4540
141,0,2440
141,1,4520
141,2,3460
141,3,4530
142,0,2440
142,1,4520
142,2,3460
142,3,4540
143,0,2430
143,1,4540
143,2,3460
143,3,4540
144,0,2440
144,1,4520
144,2,3460
144,3,4550
145,0,2450
145,1,4580
145,2,3450
145,3,4540
146,0,2450
146,1,4580
146,2,3450
146,3,4540
147,0,2440
147,1,4560
147,2,3450
147,3,4530
148,0,2440
148,1,4570
148,2,3460
148,3,4530
149,0,2440
149,1,4580
149,2,3460
149,3,4540
150,0,2440
150,1,4580
150,2,3460
150,3,4540
151,0,2440
151,1,4540
151,2,3450
151,3,4540
152,0,2440
152,1,4510
152,2,3450
152,3,4540
153,0,2440
153,1,4550
153,2,3450
153,3,4540
154,0,2440
154,1,4580
154,2,3460
154,3,4530
155,0,2430
155,1,4540
155,2,3460
155,3,4530
156,0,2420
156,1,4510
156,2,3460
156,3,4530
157,0,2420
157,1,4500
157,2,3460
157,3,4540
158,0,2430
158,1,4490
158,2,3460
158,3,4540
159,0,2430
159,1,4500
159,2,3460
159,3,4540
160,0,2430
160,1,4500
160,2,3460
160,3,4530
161,0,2430
161,1,4540
161,2,3470
161,3,4540
162,0,2430
162,1,4510
162,2,3470
162,3,4540
163,0,2440
163,1,4530
163,2,3470
163,3,4540
164,0,2440
164,1,4510
164,2,3470
164,3,4540
165,0,2440
165,1,4540
165,2,3470
165,3,4540
166,0,2440
166,1,4510
166,2,3470
166,3,4540
167,0,2450
167,1,4540
167,2,3470
167,3,4540
168,0,2450
168,1,4530
168,2,3470
168,3,4540
169,0,2450
169,1,4510
169,2,3470
169,3,4540
170,0,2440
170,1,4530
170,2,3470
170,3,4540
171,0,2440
171,1,4560
171,2,3470
171,3,4540
172,0,2440
172,1,4540
172,2,3470
172,3,4550
173,0,2440
173,1,4580
173,2,3470
173,3,4550
174,0,2430
174,1,4550
174,2,3470
174,3,4540
175,0,2430
175,1,4530
175,2,3470
175,3,4540
176,0,2430
176,1,4530
176,2,3470
176,3,4540
177,0,2440
177,1,4510
177,2,3470
177,3,4540
178,0,2450
178,1,4550
178,2,3470
178,3,4540
179,0,2440
179,1,4570
179,2,3470
179,3,4540
180,0,2440
180,1,4560
180,2,3460
180,3,4540
181,0,2440
181,1,4560
181,2,3460
181,3,4540
182,0,2430
182,1,4520
182,2,3460
182,3,4540
183,0,2420
183,1,4560
183,2,3460
183,3,4540
184,0,2420
184,1,4520
184,2,3460
184,3,4540
185,0,2420
185,1,4580
185,2,3450
185,3,4540
186,0,2420
186,1,4540
186,2,3450
186,3,4530
187,0,2420
187,1,4530
187,2,3450
187,3,4530
