数据序列,设备号,测量值
0,0,5290
0,1,4710
0,2,3640
0,3,1630
1,0,5280
1,1,4680
1,2,3630
1,3,1640
2,0,5280
2,1,4690
2,2,3620
2,3,1640
3,0,5280
3,1,4680
3,2,3610
3,3,1650
4,0,5270
4,1,4650
4,2,3610
4,3,1650
5,0,5280
5,1,4660
5,2,3610
5,3,1650
6,0,5280
6,1,4650
6,2,3610
6,3,1650
7,0,5290
7,1,4640
7,2,3610
7,3,1650
8,0,5290
8,1,4680
8,2,3620
8,3,1650
9,0,5290
9,1,4670
9,2,3610
9,3,1650
10,0,5290
10,1,4650
10,2,3620
10,3,1660
11,0,5290
11,1,4690
11,2,3630
11,3,1660
12,0,5270
12,1,4680
12,2,3640
12,3,1640
13,0,5280
13,1,4640
13,2,3640
13,3,1640
14,0,5290
14,1,4680
14,2,3640
14,3,1640
15,0,5290
15,1,4710
15,2,3640
15,3,1640
16,0,5290
16,1,4660
16,2,3650
16,3,1640
17,0,5290
17,1,4700
17,2,3630
17,3,1620
18,0,5280
18,1,4640
18,2,3640
18,3,1640
19,0,5270
19,1,4670
19,2,3630
19,3,1640
20,0,5270
20,1,4670
20,2,3640
20,3,1640
21,0,5280
21,1,4650
21,2,3630
21,3,1650
22,0,5280
22,1,4690
22,2,3630
22,3,1650
23,0,5280
23,1,4670
23,2,3630
23,3,1640
24,0,5280
24,1,4660
24,2,3620
24,3,1650
25,0,5270
25,1,4670
25,2,3620
25,3,1650
26,0,5270
26,1,4720
26,2,3630
26,3,1640
27,0,5280
27,1,4670
27,2,3630
27,3,1650
28,0,5280
28,1,4680
28,2,3620
28,3,1670
29,0,5290
29,1,4720
29,2,3620
29,3,1670
30,0,5290
30,1,4680
30,2,3640
30,3,1670
31,0,5290
31,1,4670
31,2,3630
31,3,1670
32,0,5280
32,1,4660
32,2,3640
32,3,1650
33,0,5280
33,1,4650
33,2,3640
33,3,1650
34,0,5290
34,1,4660
34,2,3640
34,3,1630
35,0,5290
35,1,4650
35,2,3650
35,3,1630
36,0,5280
36,1,4710
36,2,3650
36,3,1640
37,0,5290
37,1,4680
37,2,3650
37,3,1640
38,0,5290
38,1,4690
38,2,3630
38,3,1650
39,0,5290
39,1,4670
39,2,3640
39,3,1660
40,0,5290
40,1,4690
40,2,3640
40,3,1660
41,0,5290
41,1,4670
41,2,3630
41,3,1660
42,0,5290
42,1,4710
42,2,3630
42,3,1640
43,0,5290
43,1,4670
43,2,3640
43,3,1640
44,0,5290
44,1,4710
44,2,3630
44,3,1650
45,0,5290
45,1,4660
45,2,3640
45,3,1630
46,0,5290
46,1,4660
46,2,3630
46,3,1640
47,0,5290
47,1,4720
47,2,3640
47,3,1650
48,0,5290
48,1,4660
48,2,3640
48,3,1650
49,0,5280
49,1,4700
49,2,3630
49,3,1650
