数据序列,设备号,测量值
0,0,3760
0,1,4660
0,2,2600
0,3,3910
1,0,3760
1,1,4670
1,2,2600
1,3,3920
2,0,3800
2,1,4670
2,2,2600
2,3,3910
3,0,3780
3,1,4670
3,2,2600
3,3,3910
4,0,3780
4,1,4660
4,2,2600
4,3,3900
5,0,3740
5,1,4660
5,2,2610
5,3,3920
6,0,3760
6,1,4660
6,2,2600
6,3,3920
7,0,3740
7,1,4660
7,2,2610
7,3,3910
8,0,3760
8,1,4660
8,2,2600
8,3,3900
9,0,3760
9,1,4660
9,2,2600
9,3,3920
10,0,3750
10,1,4660
10,2,2600
10,3,3920
11,0,3770
11,1,4650
11,2,2600
11,3,3910
12,0,3750
12,1,4650
12,2,2600
12,3,3920
13,0,3780
13,1,4650
13,2,2590
13,3,3920
14,0,3770
14,1,4660
14,2,2590
14,3,3910
15,0,3770
15,1,4660
15,2,2590
15,3,3900
16,0,3740
16,1,4660
16,2,2590
16,3,3890
17,0,3780
17,1,4650
17,2,2590
17,3,3880
18,0,3740
18,1,4660
18,2,2590
18,3,3880
19,0,3750
19,1,4660
19,2,2590
19,3,3900
20,0,3800
20,1,4660
20,2,2590
20,3,3920
21,0,3740
21,1,4660
21,2,2590
21,3,3910
22,0,3730
22,1,4670
22,2,2600
22,3,3900
23,0,3790
23,1,4660
23,2,2600
23,3,3910
24,0,3800
24,1,4660
24,2,2600
24,3,3900
25,0,3810
25,1,4660
25,2,2600
25,3,3910
26,0,3740
26,1,4660
26,2,2610
26,3,3900
27,0,3770
27,1,4660
27,2,2610
27,3,3910
28,0,3770
28,1,4670
28,2,2610
28,3,3900
29,0,3810
29,1,4660
29,2,2610
29,3,3910
30,0,3810
30,1,4670
30,2,2610
30,3,3910
31,0,3810
31,1,4670
31,2,2610
31,3,3900
32,0,3760
32,1,4660
32,2,2610
32,3,3910
33,0,3760
33,1,4660
33,2,2620
33,3,3920
34,0,3760
34,1,4660
34,2,2610
34,3,3920
35,0,3760
35,1,4660
