数据序列,设备号,测量值
0,0,4170
0,1,5330
0,2,1660
0,3,4160
1,0,4130
1,1,5330
1,2,1670
1,3,4160
2,0,4130
2,1,5320
2,2,1660
2,3,4160
3,0,4110
3,1,5340
3,2,1670
3,3,4150
4,0,4140
4,1,5340
4,2,1670
4,3,4150
5,0,4160
5,1,5330
5,2,1670
5,3,4160
6,0,4100
6,1,5340
6,2,1670
6,3,4160
7,0,4120
7,1,5340
7,2,1670
7,3,4160
8,0,4160
8,1,5330
8,2,1670
8,3,4160
9,0,4120
9,1,5350
9,2,1670
9,3,4180
10,0,4100
10,1,5350
10,2,1670
10,3,4180
11,0,4120
11,1,5370
11,2,1660
11,3,4160
12,0,4100
12,1,5360
12,2,1660
12,3,4160
13,0,4110
13,1,5360
13,2,1660
13,3,4160
14,0,4130
14,1,5350
14,2,1660
14,3,4160
15,0,4110
15,1,5340
15,2,1660
15,3,4160
16,0,4090
16,1,5350
16,2,1660
16,3,4160
17,0,4150
17,1,5340
17,2,1670
17,3,4160
18,0,4110
18,1,5340
18,2,1670
18,3,4160
19,0,4130
19,1,5340
19,2,1660
19,3,4170
20,0,4120
20,1,5330
20,2,1670
20,3,4160
21,0,4100
21,1,5360
21,2,1670
21,3,4160
22,0,4140
22,1,5350
22,2,1670
22,3,4150
23,0,4090
23,1,5350
23,2,1670
23,3,4150
24,0,4130
24,1,5340
24,2,1670
24,3,4150
25,0,4070
25,1,5350
25,2,1660
25,3,4140
26,0,4070
26,1,5340
26,2,1660
26,3,4150
27,0,4110
27,1,5350
27,2,1650
27,3,4150
28,0,4110
28,1,5360
28,2,1650
28,3,4150
29,0,4140
29,1,5330
29,2,1650
29,3,4150
30,0,4100
30,1,5330
30,2,1650
30,3,4150
31,0,4080
31,1,5320
31,2,1650
31,3,4150
32,0,4110
32,1,5320
32,2,1650
32,3,4160
33,0,4090
33,1,5320
33,2,1650
33,3,4160
34,0,4130
34,1,5310
34,2,1650
34,3,4140
35,0,4090
35,1,5300
35,2,1650
35,3,4150
36,0,4150
36,1,5290
36,2,1650
36,3,4160
37,0,4090
37,1,5290
37,2,1660
37,3,4160
38,0,4150
38,1,5310
38,2,1660
38,3,4160
39,0,4150
39,1,5340
39,2,1660
39,3,4160
40,0,4080
40,1,5360
40,2,1660
40,3,4160
41,0,4100
41,1,5360
41,2,1670
41,3,4150
42,0,4100
42,1,5350
42,2,1680
42,3,4140
43,0,4100
43,1,5340
43,2,1670
43,3,4140
44,0,4100
44,1,5330
44,2,1670
44,3,4140
45,0,4090
45,1,5310
45,2,1670
45,3,4150
46,0,4090
46,1,5310
46,2,1670
46,3,4150
47,0,4080
47,1,5320
47,2,1670
47,3,4140
48,0,4070
48,1,5320
48,2,1680
48,3,4150
49,0,4090
49,1,5320
49,2,1680
49,3,4140
50,0,4110
50,1,5320
50,2,1680
50,3,4140
51,0,4090
51,1,5330
51,2,1670
51,3,4150
52,0,4140
52,1,5350
52,2,1670
52,3,4140
53,0,4140
53,1,5360
53,2,1670
53,3,4130
54,0,4080
54,1,5350
54,2,1670
