数据序列,设备号,测量值
0,0,3130
0,1,2000
0,2,5430
0,3,4830
1,0,3140
1,1,2000
1,2,5440
1,3,4830
2,0,3170
2,1,2000
2,2,5440
2,3,4830
3,0,3200
3,1,2000
3,2,5440
3,3,4820
4,0,3320
4,1,2000
4,2,5440
4,3,4820
5,0,3510
5,1,2010
5,2,5440
5,3,4830
6,0,3440
6,1,2010
6,2,5430
6,3,4830
7,0,3370
7,1,2000
7,2,5430
7,3,4830
8,0,3250
8,1,2010
8,2,5430
8,3,4830
9,0,3200
9,1,2000
9,2,5420
9,3,4830
10,0,3230
10,1,2000
10,2,5430
10,3,4840
11,0,3250
11,1,2010
11,2,5440
11,3,4830
12,0,3270
12,1,2010
12,2,5440
12,3,4820
13,0,3250
13,1,2010
13,2,5430
13,3,4820
14,0,3260
14,1,2010
14,2,5430
14,3,4830
15,0,3260
15,1,2020
15,2,5430
15,3,4830
16,0,3270
16,1,2020
16,2,5440
16,3,4820
17,0,3270
17,1,2010
17,2,5440
17,3,4830
18,0,3260
18,1,2010
18,2,5440
18,3,4830
19,0,3280
19,1,2010
19,2,5440
19,3,4840
20,0,3290
20,1,2000
20,2,5440
20,3,4840
21,0,3290
21,1,2000
21,2,5440
21,3,4840
22,0,3300
22,1,2010
22,2,5440
22,3,4840
23,0,3300
23,1,2010
23,2,5440
23,3,4830
24,0,3300
24,1,2010
24,2,5440
24,3,4820
25,0,3290
25,1,2010
25,2,5440
25,3,4820
26,0,3300
26,1,2010
26,2,5440
26,3,4830
27,0,3300
27,1,2010
27,2,5440
27,3,4830
28,0,3290
28,1,2010
28,2,5430
28,3,4820
29,0,3270
29,1,2010
29,2,5430
29,3,4830
30,0,3270
30,1,2020
30,2,5440
30,3,4830
31,0,3270
31,1,2030
31,2,5440
31,3,4830
32,0,3270
32,1,2030
32,2,5440
32,3,4830
33,0,3270
33,1,2030
33,2,5440
33,3,4820
34,0,3290
34,1,2020
34,2,5440
34,3,4820
35,0,3300
35,1,2010
35,2,5430
35,3,4840
36,0,3300
36,1,2010
36,2,5430
36,3,4840
37,0,3300
37,1,2000
37,2,5440
37,3,4830
38,0,3300
38,1,2000
38,2,5440
38,3,4820
39,0,3290
39,1,2000
39,2,5440
39,3,4810
40,0,3280
40,1,2000
40,2,5440
40,3,4810
41,0,3270
41,1,2010
41,2,5440
41,3,4820
42,0,3260
42,1,2010
42,2,5430
42,3,4820
43,0,3240
43,1,2010
43,2,5430
43,3,4830
44,0,3230
44,1,2030
44,2,5430
44,3,4830
45,0,3230
45,1,2030
45,2,5430
45,3,4840
46,0,3240
46,1,2020
46,2,5430
46,3,4830
47,0,3240
47,1,2020
47,2,5430
47,3,4830
48,0,3240
48,1,2020
48,2,5430
48,3,4820
49,0,3240
49,1,2020
49,2,5430
49,3,4820
50,0,3230
50,1,2010
50,2,5430
50,3,4830
51,0,3220
51,1,2010
51,2,5430
51,3,4830
52,0,3220
52,1,2010
52,2,5430
52,3,4840
53,0,3210
53,1,2010
53,2,5430
53,3,4840
54,0,3210
54,1,2010
54,2,5440
54,3,4820
55,0,3210
55,1,2000
55,2,5430
55,3,4810
56,0,3210
56,1,2010
56,2,5430
56,3,4810
57,0,3210
57,1,2000
57,2,5430
57,3,4810
58,0,3220
58,1,2010
58,2,5430
58,3,4820
59,0,3230
59,1,2010
59,2,5430
59,3,4820
60,0,3230
60,1,2010
60,2,5430
60,3,4830
61,0,3230
61,1,2000
61,2,5440
61,3,4840
62,0,3240
62,1,2010
62,2,5440
62,3,4830
63,0,3240
63,1,2010
63,2,5440
63,3,4830
64,0,3250
64,1,2010
64,2,5440
64,3,4820
65,0,3250
65,1,2010
65,2,5440
65,3,4820
66,0,3250
66,1,2020
66,2,5430
66,3,4830
67,0,3250
67,1,2020
67,2,5430
67,3,4840
68,0,3250
68,1,2020
68,2,5430
68,3,4840
69,0,3250
69,1,2020
69,2,5430
69,3,4840
70,0,3250
70,1,2020
70,2,5440
