Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,1254.8,4549.5,4549.5,6299.3
2.0,1223.6,4580.3,4551.4,6297.8
3.0,1194.3,4607.4,4551.4,6297.3
4.0,1166.3,4636.5,4551.4,6296.8
5.0,1140.8,4661.9,4551.5,6296.4
6.0,1116.9,4685.7,4551.4,6296.0
7.0,1094.5,4710.4,4551.3,6295.6
8.0,1072.9,4732.3,4551.2,6295.2
9.0,1052.8,4752.8,4551.1,6294.9
10.0,1018.1,4790.0,4551.0,6295.5
11.0,987.8,4822.5,4550.9,6295.5
12.0,960.6,4848.3,4550.8,6294.8
13.0,936.8,4871.0,4550.7,6294.2
14.0,914.7,4892.1,4550.6,6293.7
15.0,887.3,4914.7,4550.5,6294.2
16.0,864.2,4933.1,4550.4,6294.6
17.0,841.6,4954.5,4550.4,6293.5
18.0,820.3,4975.5,4550.3,6292.5
19.0,798.6,4992.8,4550.2,6295.7
20.0,777.2,5010.5,4550.1,6300.3
21.0,765.5,5030.7,4550.4,6302.6
