数据序列,设备号,测量值
0,0,5080
0,1,3740
0,2,3800
0,3,2160
1,0,5080
1,1,3740
1,2,3800
1,3,2160
2,0,5070
2,1,3730
2,2,3810
2,3,2160
3,0,5070
3,1,3740
3,2,3800
3,3,2160
4,0,5070
4,1,3740
4,2,3800
4,3,2170
5,0,5070
5,1,3750
5,2,3790
5,3,2170
6,0,5070
6,1,3760
6,2,3790
6,3,2160
7,0,5080
7,1,3750
7,2,3790
7,3,2150
8,0,5080
8,1,3750
8,2,3800
8,3,2150
9,0,5080
9,1,3740
9,2,3800
9,3,2150
10,0,5090
10,1,3740
10,2,3810
10,3,2130
11,0,5090
11,1,3740
11,2,3790
11,3,2130
12,0,5080
12,1,3740
12,2,3790
12,3,2140
13,0,5080
13,1,3740
13,2,3780
13,3,2140
14,0,5090
14,1,3750
14,2,3780
14,3,2140
15,0,5080
15,1,3760
15,2,3790
15,3,2150
16,0,5080
16,1,3770
16,2,3800
16,3,2150
17,0,5070
17,1,3770
17,2,3790
17,3,2140
18,0,5070
18,1,3760
18,2,3800
18,3,2140
19,0,5070
19,1,3760
19,2,3800
19,3,2150
20,0,5080
20,1,3750
20,2,3800
20,3,2150
21,0,5080
21,1,3740
21,2,3790
21,3,2140
22,0,5080
22,1,3740
22,2,3790
22,3,2150
23,0,5080
23,1,3740
23,2,3790
23,3,2140
24,0,5080
24,1,3740
24,2,3790
24,3,2140
25,0,5080
25,1,3750
25,2,3800
25,3,2140
26,0,5070
26,1,3750
26,2,3790
26,3,2140
27,0,5070
27,1,3740
27,2,3790
27,3,2140
28,0,5070
28,1,3730
28,2,3790
28,3,2140
29,0,5080
29,1,3740
29,2,3790
29,3,2140
30,0,5080
30,1,3740
30,2,3800
30,3,2140
31,0,5080
31,1,3730
31,2,3810
31,3,2150
32,0,5080
32,1,3740
32,2,3810
32,3,2160
33,0,5080
33,1,3740
33,2,3810
33,3,2170
34,0,5080
34,1,3750
34,2,3810
34,3,2160
35,0,5080
35,1,3750
35,2,3800
35,3,2150
36,0,5070
36,1,3760
36,2,3790
36,3,2150
37,0,5080
37,1,3750
37,2,3790
37,3,2150
38,0,5080
38,1,3750
38,2,3790
38,3,2150
39,0,5080
39,1,3750
39,2,3790
39,3,2150
40,0,5090
40,1,3760
40,2,3790
40,3,2150
41,0,5090
41,1,3750
41,2,3790
41,3,2160
42,0,5090
42,1,3750
42,2,3790
42,3,2170
43,0,5090
43,1,3750
43,2,3800
43,3,2160
44,0,5090
44,1,3750
44,2,3800
44,3,2160
45,0,5070
45,1,3750
45,2,3800
45,3,2170
46,0,5070
46,1,3750
46,2,3800
46,3,2160
47,0,5070
47,1,3760
47,2,3800
47,3,2160
48,0,5060
48,1,3750
48,2,3800
48,3,2150
49,0,5070
49,1,3740
49,2,3790
49,3,2130
50,0,5070
50,1,3750
50,2,3790
50,3,2120
51,0,5070
51,1,3750
51,2,3790
51,3,2130
52,0,5070
52,1,3740
52,2,3790
52,3,2130
53,0,5070
53,1,3750
53,2,3790
53,3,2120
54,0,5070
54,1,3750
54,2,3790
54,3,2140
55,0,5070
55,1,3760
55,2,3780
55,3,2130
56,0,5070
56,1,3760
56,2,3780
56,3,2130
57,0,5070
57,1,3760
57,2,3790
57,3,2140
58,0,5080
58,1,3750
58,2,3800
58,3,2130
59,0,5080
59,1,3740
59,2,3800
59,3,2140
60,0,5070
60,1,3730
60,2,3800
60,3,2150
61,0,5070
61,1,3730
61,2,3800
61,3,2140
62,0,5070
62,1,3730
62,2,3800
62,3,2140
63,0,5080
63,1,3740
63,2,3790
63,3,2150
64,0,5080
64,1,3730
64,2,3790
64,3,2160
65,0,5090
65,1,3750
65,2,3790
65,3,2150
66,0,5090
66,1,3750
66,2,3800
66,3,2150
67,0,5090
67,1,3750
67,2,3810
67,3,2150
68,0,5090
68,1,3760
68,2,3800
68,3,2160
69,0,5090
69,1,3760
69,2,3800
69,3,2170
70,0,5090
70,1,3760
70,2,3790
70,3,2170
71,0,5090
71,1,3770
71,2,3790
71,3,2160
72,0,5090
72,1,3770
72,2,3790
72,3,2150
73,0,5090
73,1,3770
73,2,3790
73,3,2150
74,0,5090
74,1,3770
74,2,3790
74,3,2150
75,0,5090
75,1,3760
75,2,3790
75,3,2140
76,0,5090
76,1,3760
76,2,3790
76,3,2140
77,0,5080
77,1,3750
77,2,3790
77,3,2140
78,0,5070
78,1,3750
78,2,3790
78,3,2150
79,0,5070
79,1,3760
79,2,3790
79,3,2140
80,0,5070
80,1,3770
80,2,3790
80,3,2160
81,0,5070
81,1,3770
81,2,3790
81,3,2150
82,0,5060
82,1,3770
82,2,3790
82,3,2150
83,0,5060
83,1,3750
83,2,3780
83,3,2140
84,0,5080
84,1,3760
84,2,3780
84,3,2150
85,0,5080
85,1,3760
