数据序列,设备号,测量值
0,0,6550
0,1,4530
0,2,4480
0,3,840
1,0,6550
1,1,4530
1,2,4480
1,3,830
2,0,6560
2,1,4530
2,2,4480
2,3,840
3,0,6560
3,1,4530
3,2,4480
3,3,830
4,0,6550
4,1,4520
4,2,4480
4,3,830
5,0,6540
5,1,4520
5,2,4500
5,3,840
6,0,6540
6,1,4530
6,2,4510
6,3,830
7,0,6530
7,1,4530
7,2,4510
7,3,820
8,0,6530
8,1,4530
8,2,4500
8,3,830
9,0,6530
9,1,4530
9,2,4490
9,3,830
10,0,6550
10,1,4510
10,2,4480
10,3,830
11,0,6550
11,1,4510
11,2,4480
11,3,830
12,0,6550
12,1,4530
12,2,4470
12,3,820
13,0,6550
13,1,4530
13,2,4480
13,3,820
14,0,6570
14,1,4530
14,2,4480
14,3,820
15,0,6560
15,1,4530
15,2,4480
15,3,830
16,0,6550
16,1,4530
16,2,4490
16,3,830
17,0,6550
17,1,4530
17,2,4480
17,3,830
18,0,6550
18,1,4530
18,2,4480
18,3,830
19,0,6550
19,1,4530
19,2,4490
19,3,830
20,0,6540
20,1,4530
20,2,4480
20,3,830
21,0,6560
21,1,4530
21,2,4480
21,3,820
22,0,6570
22,1,4530
22,2,4470
22,3,820
23,0,6560
23,1,4530
23,2,4470
23,3,830
24,0,6550
24,1,4530
24,2,4480
24,3,830
25,0,6560
25,1,4530
25,2,4490
25,3,840
26,0,6570
26,1,4530
26,2,4490
26,3,830
27,0,6570
27,1,4530
27,2,4490
27,3,830
28,0,6570
28,1,4530
28,2,4490
28,3,830
29,0,6570
29,1,4530
29,2,4480
29,3,830
30,0,6570
30,1,4530
30,2,4480
30,3,830
31,0,6560
31,1,4530
31,2,4480
31,3,850
32,0,6560
32,1,4540
32,2,4490
32,3,850
33,0,6560
33,1,4530
33,2,4510
33,3,850
34,0,6550
34,1,4530
34,2,4520
34,3,840
35,0,6550
35,1,4530
35,2,4520
35,3,830
36,0,6550
36,1,4520
36,2,4520
36,3,830
37,0,6550
37,1,4520
37,2,4500
37,3,840
38,0,6550
38,1,4520
38,2,4490
38,3,830
39,0,6560
39,1,4510
39,2,4490
39,3,820
40,0,6550
40,1,4510
40,2,4500
40,3,840
41,0,6550
41,1,4500
41,2,4500
41,3,850
42,0,6550
42,1,4510
42,2,4490
42,3,870
43,0,6550
43,1,4500
43,2,4500
43,3,850
44,0,6560
44,1,4510
44,2,4500
44,3,840
45,0,6560
45,1,4510
45,2,4490
45,3,840
46,0,6560
46,1,4520
46,2,4500
46,3,830
47,0,6570
47,1,4520
47,2,4490
47,3,830
48,0,6560
48,1,4520
48,2,4490
48,3,830
49,0,6560
49,1,4520
49,2,4480
49,3,830
50,0,6570
50,1,4520
50,2,4480
50,3,830
51,0,6560
51,1,4520
51,2,4490
51,3,820
52,0,6560
52,1,4520
52,2,4490
52,3,830
53,0,6550
53,1,4500
53,2,4490
53,3,830
54,0,6560
54,1,4510
54,2,4490
54,3,830
55,0,6560
55,1,4510
55,2,4490
55,3,830
56,0,6550
56,1,4500
56,2,4500
56,3,820
57,0,6550
57,1,4500
57,2,4510
57,3,840
58,0,6540
58,1,4510
58,2,4510
58,3,840
59,0,6540
59,1,4520
59,2,4510
59,3,840
60,0,6540
60,1,4520
60,2,4500
60,3,830
61,0,6550
61,1,4520
61,2,4490
61,3,840
62,0,6560
62,1,4520
62,2,4500
62,3,840
63,0,6570
63,1,4520
63,2,4510
63,3,840
64,0,6570
64,1,4520
64,2,4510
64,3,830
65,0,6560
65,1,4520
65,2,4500
65,3,840
66,0,6560
66,1,4530
66,2,4500
66,3,830
67,0,6560
67,1,4530
67,2,4490
67,3,830
68,0,6570
68,1,4530
68,2,4490
68,3,830
69,0,6570
69,1,4530
69,2,4480
69,3,830
70,0,6560
