Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,5418.8,4239.0,3619.2,1840.6
2.0,5419.4,4239.5,3619.6,1835.3
3.0,5423.0,4239.7,3623.1,1837.2
4.0,5424.7,4239.8,3622.3,1838.2
5.0,5425.8,4237.8,3623.9,1836.5
6.0,5424.8,4236.4,3623.2,1837.1
7.0,5424.1,4237.0,3622.7,1836.0
8.0,5423.5,4237.4,3622.4,1836.6
9.0,5423.1,4236.5,3622.1,1837.0
10.0,5422.8,4235.7,3621.8,1837.3
11.0,5422.5,4235.1,3621.6,1838.6
12.0,5422.2,4234.6,3621.5,1839.8
13.0,5422.0,4234.2,3621.3,1840.7
14.0,5422.7,4233.8,3622.1,1841.5
15.0,5423.3,4233.5,3622.8,1842.3
16.0,5423.9,4233.2,3623.4,1842.9
17.0,5425.2,4233.0,3623.1,1842.7
18.0,5426.3,4232.7,3622.9,1842.5
19.0,5427.4,4232.5,3622.7,1841.5
20.0,5427.6,4232.3,3622.5,1841.4
21.0,5428.5,4232.9,3622.3,1841.3
22.0,5429.3,4232.7,3622.1,1841.9
23.0,5430.1,4233.2,3622.0,1841.8
24.0,5430.8,4233.0,3621.8,1841.0
25.0,5431.4,4233.5,3621.7,1840.9
26.0,5432.0,4233.9,3621.6,1840.8
27.0,5432.5,4233.6,3621.5,1840.1
28.0,5433.0,4234.1,3621.4,1840.1
29.0,5432.8,4234.5,3621.3,1840.8
30.0,5433.3,4234.2,3621.2,1840.7
31.0,5433.8,4233.9,3621.8,1840.7
32.0,5433.5,4233.6,3621.7,1840.6
33.0,5432.6,4233.4,3621.6,1840.6
34.0,5432.5,4233.2,3621.5,1840.5
35.0,5432.3,4233.0,3621.4,1839.8
36.0,5431.5,4232.8,3621.3,1839.2
37.0,5430.7,4231.9,3621.2,1839.3
38.0,5430.0,4231.2,3621.1,1838.7
39.0,5430.0,4231.1,3621.7,1838.8
40.0,5430.7,4231.0,3622.2,1839.5
41.0,5430.7,4230.9,3622.7,1840.2
42.0,5430.7,4230.9,3623.2,1840.8
43.0,5430.0,4231.5,3623.6,1841.4
44.0,5430.0,4231.4,3623.4,1842.0
45.0,5429.4,4231.9,3623.2,1841.9
46.0,5429.4,4231.8,3623.0,1841.7
47.0,5429.5,4231.7,3622.8,1841.0
48.0,5428.8,4231.6,3622.6,1841.0
49.0,5428.3,4231.5,3622.4,1841.0
50.0,5427.7,4230.7,3622.3,1841.0
51.0,5427.9,4230.0,3622.1,1840.3
52.0,5428.7,4230.0,3622.0,1840.3
53.0,5428.8,4230.0,3621.9,1839.6
54.0,5428.8,4230.0,3621.7,1839.0
55.0,5429.6,4230.0,3622.3,1838.4
56.0,5430.2,4230.0,3622.8,1838.5
57.0,5430.9,4230.0,3623.2,1838.6
58.0,5431.4,4230.0,3623.0,1838.0
59.0,5431.4,4230.0,3622.8,1838.2
60.0,5431.3,4230.0,3622.7,1838.4
61.0,5431.2,4230.7,3622.5,1838.6
62.0,5431.8,4230.6,3622.3,1838.7
63.0,5432.3,4230.6,3622.2,1838.2
64.0,5432.8,4230.5,3622.7,1838.3
65.0,5433.3,4231.2,3623.2,1838.4
66.0,5433.7,4231.7,3623.6,1838.5
67.0,5434.1,4231.6,3624.0,1838.6
68.0,5434.5,4231.5,3624.4,1838.0
69.0,5434.8,4232.1,3624.8,1837.5
70.0,5434.6,4232.6,3624.4,1837.7
71.0,5434.4,4233.1,3624.2,1838.0
72.0,5434.1,4232.2,3624.5,1838.2
73.0,5433.2,4232.1,3624.4,1838.3
74.0,5433.0,4231.9,3624.8,1837.8
75.0,5432.8,4231.8,3625.1,1837.3
76.0,5432.6,4231.0,3625.4,1837.5
77.0,5432.4,4230.3,3625.7,1837.1
78.0,5431.6,4229.7,3625.4,1837.2
79.0,5431.5,4229.7,3625.7,1837.4
80.0,5431.4,4229.1,3625.9,1837.6
81.0,5432.0,4228.5,3626.2,1837.1
82.0,5432.5,4227.9,3626.5,1837.3
83.0,5433.0,4227.4,3626.7,1837.6
84.0,5433.4,4226.9,3626.9,1837.8
85.0,5433.9,4226.5,3626.5,1837.3
86.0,5434.2,4226.1,3626.0,1836.8
87.0,5434.6,4226.3,3625.6,1836.4
88.0,5435.0,4226.6,3625.3,1836.0
89.0,5434.6,4226.8,3624.9,1836.2
90.0,5434.3,4227.0,3624.6,1836.5
91.0,5434.1,4227.8,3624.3,1836.7
92.0,5433.8,4228.0,3624.2,1836.9
93.0,5432.9,4228.7,3624.0,1837.1
94.0,5432.1,4229.5,3623.7,1836.7
95.0,5431.9,4230.2,3623.5,1836.2
96.0,5431.8,4230.8,3623.9,1836.5
97.0,5431.7,4230.7,3624.3,1836.1
98.0,5431.6,4230.7,3624.7,1836.4
99.0,5431.5,4230.6,3625.0,1836.7
100.0,5430.8,4230.6,3625.3,1836.2
101.0,5430.1,4230.6,3625.6,1835.8
102.0,5430.1,4230.5,3625.5,1836.2
103.0,5430.7,4230.5,3625.7,1835.8
104.0,5431.3,4230.5,3625.4,1836.1
105.0,5431.2,4230.4,3625.7,1835.7
106.0,5431.1,4230.4,3626.0,1836.1
107.0,5431.1,4230.4,3626.2,1836.4
108.0,5431.0,4231.0,3626.5,1836.0
109.0,5430.9,4231.6,3626.0,1835.6
110.0,5430.2,4232.1,3625.7,1835.9
111.0,5429.6,4232.6,3625.3,1835.5
112.0,5428.9,4233.1,3624.9,1835.2
113.0,5429.0,4233.6,3625.3,1835.6
114.0,5428.4,4233.3,3625.6,1835.9
115.0,5427.9,4233.8,3625.4,1836.2
116.0,5428.0,4233.5,3625.7,1835.8
117.0,5428.8,4233.9,3626.0,1836.2
118.0,5429.5,4234.3,3625.6,1835.8
119.0,5430.2,4234.0,3625.2,1835.4
120.0,5430.8,4233.8,3624.9,1835.1
121.0,5431.4,4232.9,3625.2,1835.4
122.0,5432.0,4232.7,3625.1,1835.1
123.0,5432.5,4232.5,3625.4,1835.5
124.0,5432.3,4232.4,3625.1,1835.8
125.0,5432.8,4232.2,3624.7,1836.2
126.0,5433.3,4232.1,3624.4,1835.8
127.0,5433.7,4232.6,3624.1,1836.7
128.0,5434.1,4232.4,3624.5,1837.5
129.0,5434.5,4232.9,3624.4,1838.3
130.0,5434.9,4232.7,3624.8,1838.4
131.0,5435.2,4232.5,3625.1,1838.5
132.0,5435.5,4233.0,3625.4,1839.3
133.0,5435.8,4232.8,3625.7,1839.3
134.0,5436.1,4232.6,3626.0,1839.4
135.0,5436.3,4232.5,3625.6,1838.8
136.0,5436.6,4232.3,3625.9,1838.2
137.0,5436.8,4232.2,3626.2,1838.3
138.0,5437.0,4232.0,3626.4,1838.4
139.0,5437.2,4231.9,3626.6,1838.5
140.0,5437.4,4231.8,3626.2,1839.3
141.0,5436.9,4231.7,3626.5,1839.3
142.0,5436.6,4232.2,3626.7,1838.7
143.0,5436.8,4232.7,3626.9,1838.8
144.0,5436.3,4233.2,3626.5,1838.9
145.0,5436.6,4233.6,3626.0,1838.9
146.0,5436.8,4234.0,3625.6,1839.0
147.0,5437.0,4233.8,3625.3,1839.1
148.0,5436.6,4234.2,3624.9,1839.8
149.0,5436.1,4234.5,3624.8,1840.4
150.0,5435.7,4234.2,3624.7,1840.4
151.0,5435.4,4234.0,3624.6,1840.4
152.0,5435.0,4233.1,3624.5,1840.4
153.0,5434.7,4232.2,3624.2,1841.0
154.0,5434.4,4231.4,3624.1,1841.6
155.0,5434.1,4230.7,3624.0,1842.8
156.0,5433.2,4230.0,3624.0,1843.9
157.0,5432.4,4230.0,3623.9,1844.9
158.0,5432.2,4230.0,3623.7,1845.9
159.0,5432.1,4229.4,3623.6,1846.1
160.0,5431.9,4229.4,3623.6,1846.4
161.0,5432.4,4229.4,3623.5,1846.0
162.0,5432.9,4228.8,3623.3,1846.2
163.0,5433.4,4228.9,3623.7,1846.5
164.0,5433.2,4229.0,3624.2,1847.4
165.0,5432.3,4229.0,3624.5,1848.2
166.0,5432.2,4229.1,3624.9,1848.3
167.0,5432.0,4229.2,3624.6,1848.4
168.0,5431.9,4229.2,3624.5,1848.5
169.0,5431.8,4229.3,3624.2,1848.6
170.0,5431.7,4229.3,3624.6,1848.7
171.0,5430.9,4230.0,3624.9,1848.8
172.0,5430.2,4230.7,3624.8,1848.9
