数据序列,设备号,测量值
0,0,4020
0,1,4700
0,2,2630
0,3,3280
1,0,4020
1,1,4700
1,2,2640
1,3,3280
2,0,4020
2,1,4700
2,2,2640
2,3,3280
3,0,4020
3,1,4700
3,2,2640
3,3,3280
4,0,4010
4,1,4700
4,2,2640
4,3,3280
5,0,4010
5,1,4700
5,2,2640
5,3,3290
6,0,4020
6,1,4700
6,2,2650
6,3,3290
7,0,4020
7,1,4710
7,2,2650
7,3,3290
8,0,4020
8,1,4700
8,2,2640
8,3,3290
9,0,4020
9,1,4680
9,2,2630
9,3,3290
10,0,4020
10,1,4680
10,2,2630
10,3,3290
11,0,4020
11,1,4700
11,2,2630
11,3,3280
12,0,4020
12,1,4690
12,2,2630
12,3,3280
13,0,4020
13,1,4690
13,2,2630
13,3,3280
14,0,4020
14,1,4690
14,2,2630
14,3,3280
15,0,4020
15,1,4690
15,2,2630
15,3,3280
16,0,4020
16,1,4690
16,2,2630
16,3,3290
17,0,4010
17,1,4690
17,2,2630
17,3,3290
18,0,4010
18,1,4690
18,2,2640
18,3,3290
19,0,4010
19,1,4690
19,2,2630
19,3,3300
20,0,4020
20,1,4690
20,2,2630
20,3,3300
21,0,4020
21,1,4700
21,2,2630
21,3,3300
22,0,4020
22,1,4700
22,2,2630
22,3,3290
23,0,4030
23,1,4690
23,2,2630
23,3,3290
24,0,4020
24,1,4690
24,2,2630
24,3,3280
25,0,4030
25,1,4690
25,2,2630
25,3,3290
26,0,4030
26,1,4690
26,2,2630
26,3,3280
27,0,4030
27,1,4690
27,2,2630
27,3,3290
28,0,4030
28,1,4690
28,2,2630
28,3,3280
29,0,4030
29,1,4690
29,2,2630
29,3,3280
30,0,4020
30,1,4690
30,2,2630
30,3,3280
31,0,4020
31,1,4690
31,2,2630
31,3,3280
32,0,4020
32,1,4690
32,2,2630
32,3,3280
33,0,4020
33,1,4690
33,2,2630
33,3,3290
34,0,4030
34,1,4690
34,2,2630
34,3,3290
35,0,4030
35,1,4680
35,2,2630
35,3,3290
36,0,4020
36,1,4690
36,2,2630
36,3,3300
37,0,4020
37,1,4690
37,2,2640
37,3,3290
38,0,4020
38,1,4690
38,2,2630
38,3,3290
39,0,4010
39,1,4690
39,2,2630
39,3,3270
40,0,4010
40,1,4690
40,2,2630
40,3,3270
41,0,4020
41,1,4690
41,2,2620
41,3,3270
42,0,4020
42,1,4690
42,2,2620
42,3,3270
43,0,4010
43,1,4690
43,2,2620
43,3,3270
44,0,4020
44,1,4690
44,2,2620
44,3,3270
45,0,4020
45,1,4690
45,2,2620
45,3,3280
46,0,4020
46,1,4680
46,2,2630
46,3,3280
47,0,4030
47,1,4680
47,2,2630
47,3,3280
48,0,4030
48,1,4690
48,2,2630
48,3,3290
49,0,4020
49,1,4690
49,2,2640
49,3,3290
50,0,4020
50,1,4700
50,2,2650
50,3,3290
51,0,4020
51,1,4700
51,2,2650
51,3,3300
52,0,4020
52,1,4700
52,2,2640
52,3,3290
53,0,4020
53,1,4690
53,2,2640
53,3,3290
54,0,4020
54,1,4700
54,2,2640
54,3,3290
55,0,4020
55,1,4690
55,2,2630
55,3,3290
56,0,4020
56,1,4690
56,2,2630
56,3,3290
57,0,4020
57,1,4680
57,2,2630
57,3,3280
58,0,4020
58,1,4690
58,2,2630
58,3,3280
59,0,4020
59,1,4680
59,2,2630
59,3,3280
60,0,4020
60,1,4690
60,2,2630
60,3,3280
61,0,4020
61,1,4690
61,2,2630
61,3,3280
62,0,4020
62,1,4690
62,2,2630
62,3,3290
63,0,4010
63,1,4690
63,2,2630
63,3,3290
64,0,4020
64,1,4690
64,2,2630
64,3,3290
65,0,4020
65,1,4700
65,2,2630
65,3,3290
66,0,4030
66,1,4710
66,2,2640
66,3,3300
67,0,4030
67,1,4700
67,2,2630
67,3,3290
68,0,4030
68,1,4690
68,2,2630
68,3,3290
69,0,4030
69,1,4690
69,2,2630
69,3,3300
70,0,4030
70,1,4690
70,2,2630
70,3,3290
71,0,4030
71,1,4690
71,2,2620
71,3,3290
72,0,4020
72,1,4690
72,2,2620
72,3,3280
73,0,4020
73,1,4680
73,2,2620
73,3,3280
74,0,4020
74,1,4680
74,2,2620
74,3,3270
75,0,4030
75,1,4680
75,2,2620
75,3,3270
76,0,4030
76,1,4680
76,2,2620
76,3,3280
77,0,4020
77,1,4690
77,2,2620
77,3,3280
78,0,4030
78,1,4690
78,2,2620
78,3,3290
79,0,4020
79,1,4680
79,2,2620
79,3,3290
80,0,4020
80,1,4680
80,2,2630
80,3,3280
81,0,4020
81,1,4670
81,2,2620
81,3,3280
82,0,4020
82,1,4690
82,2,2620
82,3,3280
83,0,4030
83,1,4690
83,2,2620
83,3,3290
84,0,4030
84,1,4690
84,2,2620
84,3,3300
85,0,4030
85,1,4680
85,2,2630
85,3,3300
86,0,4030
86,1,4680
86,2,2640
86,3,3300
87,0,4040
87,1,4670
87,2,2650
87,3,3290
88,0,4040
88,1,4680
88,2,2650
88,3,3290
89,0,4040
89,1,4680
89,2,2650
89,3,3290
90,0,4030
90,1,4680
90,2,2640
90,3,3290
91,0,4030
91,1,4680
91,2,2640
91,3,3290
92,0,4030
92,1,4680
92,2,2640
92,3,3300
93,0,4030
93,1,4680
93,2,2640
93,3,3300
94,0,4020
94,1,4670
94,2,2640
94,3,3300
95,0,4020
95,1,4670
95,2,2630
95,3,3290
96,0,4020
96,1,4680
96,2,2630
96,3,3290
97,0,4020
97,1,4680
97,2,2630
97,3,3280
98,0,4020
98,1,4680
98,2,2630
98,3,3280
99,0,4010
99,1,4680
99,2,2630
99,3,3280
100,0,4010
100,1,4690
100,2,2630
100,3,3280
101,0,4010
101,1,4690
101,2,2630
101,3,3290
102,0,4010
102,1,4690
102,2,2630
102,3,3290
103,0,4010
103,1,4690
103,2,2630
103,3,3290
104,0,4010
104,1,4690
104,2,2630
104,3,3290
105,0,4010
105,1,4690
105,2,2630
105,3,3280
106,0,4010
106,1,4690
106,2,2630
106,3,3280
107,0,4020
107,1,4690
107,2,2640
107,3,3280
108,0,4010
108,1,4680
108,2,2640
108,3,3280
109,0,4010
109,1,4680
109,2,2640
109,3,3290
110,0,4010
110,1,4680
110,2,2640
110,3,3290
111,0,4010
111,1,4700
111,2,2640
111,3,3290
112,0,4000
112,1,4700
112,2,2640
112,3,3290
113,0,4000
113,1,4700
113,2,2640
113,3,3290
114,0,4000
114,1,4700
114,2,2640
114,3,3300
115,0,4010
115,1,4700
115,2,2640
115,3,3300
116,0,4020
116,1,4690
116,2,2640
116,3,3290
117,0,4010
117,1,4680
117,2,2630
117,3,3290
118,0,4020
118,1,4680
118,2,2630
118,3,3280
119,0,4020
119,1,4680
119,2,2640
119,3,3290
120,0,4010
120,1,4680
120,2,2630
120,3,3290
121,0,4010
121,1,4680
121,2,2630
121,3,3290
122,0,4010
122,1,4680
