数据序列,设备号,测量值
0,0,3110
0,1,3960
0,2,3300
0,3,3860
1,0,3100
1,1,3950
1,2,3300
1,3,3860
2,0,3100
2,1,3950
2,2,3300
2,3,3850
3,0,3100
3,1,3950
3,2,3300
3,3,3850
4,0,3100
4,1,3950
4,2,3300
4,3,3860
5,0,3110
5,1,3960
5,2,3300
5,3,3870
6,0,3120
6,1,3960
6,2,3300
6,3,3880
7,0,3120
7,1,3960
7,2,3290
7,3,3880
8,0,3120
8,1,3980
8,2,3290
8,3,3880
9,0,3120
9,1,3960
9,2,3290
9,3,3890
10,0,3120
10,1,3960
10,2,3290
10,3,3890
11,0,3120
11,1,3960
11,2,3290
11,3,3900
12,0,3120
12,1,3950
12,2,3290
12,3,3900
13,0,3110
13,1,3960
13,2,3280
13,3,3890
14,0,3110
14,1,3960
14,2,3280
14,3,3880
15,0,3110
15,1,3980
15,2,3280
15,3,3890
16,0,3120
16,1,3960
16,2,3290
16,3,3880
17,0,3120
17,1,3950
17,2,3290
17,3,3880
18,0,3110
18,1,3950
18,2,3290
18,3,3870
19,0,3110
19,1,3960
19,2,3290
19,3,3860
20,0,3120
20,1,3950
20,2,3290
20,3,3870
21,0,3120
21,1,3950
21,2,3290
21,3,3860
22,0,3140
22,1,3950
22,2,3290
22,3,3860
23,0,3130
23,1,3950
23,2,3290
23,3,3860
24,0,3120
24,1,3950
24,2,3290
24,3,3860
25,0,3120
25,1,3950
25,2,3290
25,3,3860
26,0,3120
26,1,3950
26,2,3300
26,3,3860
27,0,3110
27,1,3950
27,2,3300
27,3,3860
28,0,3110
28,1,3940
28,2,3300
28,3,3870
29,0,3120
29,1,3940
29,2,3300
29,3,3870
30,0,3120
30,1,3930
30,2,3300
30,3,3870
31,0,3110
31,1,3930
31,2,3300
31,3,3870
32,0,3110
32,1,3930
32,2,3300
32,3,3870
33,0,3110
33,1,3940
33,2,3290
33,3,3870
34,0,3120
34,1,3950
34,2,3300
34,3,3870
35,0,3120
35,1,3940
35,2,3300
35,3,3880
36,0,3120
36,1,3940
36,2,3300
36,3,3890
37,0,3130
37,1,3940
37,2,3290
37,3,3890
38,0,3140
38,1,3950
38,2,3290
38,3,3900
39,0,3140
39,1,3960
39,2,3300
39,3,3900
40,0,3130
40,1,3960
40,2,3300
40,3,3900
41,0,3120
41,1,3960
41,2,3300
41,3,3900
42,0,3110
42,1,3960
42,2,3300
42,3,3890
43,0,3100
43,1,3980
43,2,3300
43,3,3880
44,0,3100
44,1,3980
44,2,3300
44,3,3870
45,0,3100
45,1,3980
45,2,3300
45,3,3870
46,0,3090
46,1,3960
46,2,3300
46,3,3880
47,0,3100
47,1,3960
47,2,3300
47,3,3890
48,0,3100
48,1,3960
48,2,3290
48,3,3900
49,0,3110
49,1,3960
49,2,3280
49,3,3890
50,0,3110
50,1,3960
50,2,3280
50,3,3880
51,0,3110
51,1,3950
