数据序列,设备号,测量值
0,0,3630
0,1,4200
0,2,2800
0,3,3490
1,0,3630
1,1,4200
1,2,2810
1,3,3490
2,0,3630
2,1,4210
2,2,2810
2,3,3490
3,0,3630
3,1,4200
3,2,2820
3,3,3500
4,0,3630
4,1,4210
4,2,2810
4,3,3490
5,0,3630
5,1,4200
5,2,2810
5,3,3490
6,0,3640
6,1,4190
6,2,2810
6,3,3490
7,0,3630
7,1,4190
7,2,2810
7,3,3490
8,0,3630
8,1,4200
8,2,2820
8,3,3490
9,0,3630
9,1,4210
9,2,2820
9,3,3490
10,0,3630
10,1,4210
10,2,2820
10,3,3490
11,0,3630
11,1,4220
11,2,2820
11,3,3500
12,0,3630
12,1,4220
12,2,2820
12,3,3510
13,0,3630
13,1,4220
13,2,2810
13,3,3500
14,0,3630
14,1,4230
14,2,2810
14,3,3510
15,0,3630
15,1,4230
15,2,2810
15,3,3500
16,0,3620
16,1,4220
16,2,2810
16,3,3500
17,0,3620
17,1,4220
17,2,2800
17,3,3480
18,0,3620
18,1,4220
18,2,2790
18,3,3480
19,0,3620
19,1,4220
19,2,2790
19,3,3480
20,0,3620
20,1,4220
20,2,2790
20,3,3500
21,0,3620
21,1,4200
21,2,2790
21,3,3490
22,0,3620
22,1,4210
22,2,2790
22,3,3500
23,0,3620
23,1,4200
23,2,2790
23,3,3490
24,0,3620
24,1,4200
24,2,2790
24,3,3480
25,0,3620
25,1,4200
25,2,2800
25,3,3470
26,0,3620
26,1,4210
26,2,2800
26,3,3490
27,0,3620
27,1,4210
27,2,2820
27,3,3490
28,0,3620
28,1,4210
28,2,2810
28,3,3500
29,0,3620
29,1,4210
29,2,2810
29,3,3510
30,0,3620
30,1,4210
30,2,2810
30,3,3510
31,0,3620
31,1,4200
31,2,2810
31,3,3510
32,0,3620
32,1,4210
32,2,2810
32,3,3510
33,0,3620
33,1,4220
33,2,2800
33,3,3500
34,0,3620
34,1,4220
34,2,2820
34,3,3500
35,0,3610
35,1,4210
35,2,2820
35,3,3510
36,0,3620
36,1,4210
36,2,2810
36,3,3510
37,0,3620
37,1,4210
37,2,2810
37,3,3510
38,0,3620
38,1,4210
38,2,2810
38,3,3510
39,0,3620
39,1,4200
39,2,2810
39,3,3510
40,0,3620
40,1,4210
40,2,2800
40,3,3500
41,0,3620
41,1,4200
41,2,2800
41,3,3500
42,0,3620
42,1,4200
42,2,2790
42,3,3480
43,0,3620
43,1,4190
43,2,2790
43,3,3490
44,0,3620
44,1,4190
44,2,2790
44,3,3490
45,0,3620
45,1,4190
45,2,2800
45,3,3480
46,0,3620
46,1,4190
46,2,2810
46,3,3490
47,0,3620
47,1,4200
47,2,2820
47,3,3490
48,0,3620
48,1,4210
48,2,2820
48,3,3480
49,0,3620
49,1,4200
49,2,2820
49,3,3490
50,0,3620
50,1,4200
50,2,2820
50,3,3490
51,0,3620
51,1,4200
51,2,2830
51,3,3500
52,0,3620
52,1,4200
52,2,2830
52,3,3500
53,0,3620
53,1,4200
53,2,2820
53,3,3500
54,0,3620
54,1,4200
54,2,2820
54,3,3500
55,0,3620
55,1,4210
55,2,2820
55,3,3500
56,0,3620
56,1,4210
56,2,2820
56,3,3490
57,0,3630
57,1,4210
57,2,2820
57,3,3500
58,0,3630
58,1,4220
58,2,2810
58,3,3500
59,0,3630
59,1,4220
59,2,2810
59,3,3490
60,0,3630
60,1,4220
60,2,2800
60,3,3480
61,0,3630
61,1,4220
61,2,2800
61,3,3480
62,0,3630
62,1,4220
62,2,2800
62,3,3480
63,0,3620
63,1,4200
63,2,2800
63,3,3480
64,0,3620
64,1,4200
64,2,2800
64,3,3490
65,0,3620
65,1,4210
65,2,2800
65,3,3490
66,0,3620
66,1,4200
66,2,2800
66,3,3490
67,0,3620
67,1,4190
67,2,2810
67,3,3490
68,0,3620
68,1,4190
68,2,2820
68,3,3490
69,0,3620
69,1,4200
69,2,2820
69,3,3490
70,0,3620
70,1,4190
70,2,2810
70,3,3490
71,0,3620
71,1,4180
71,2,2810
71,3,3500
72,0,3620
72,1,4190
72,2,2810
72,3,3500
73,0,3620
73,1,4210
73,2,2810
73,3,3490
74,0,3620
74,1,4220
74,2,2820
74,3,3500
75,0,3630
75,1,4220
75,2,2810
75,3,3500
76,0,3630
76,1,4210
76,2,2810
76,3,3500
77,0,3630
77,1,4200
77,2,2810
77,3,3490
78,0,3630
78,1,4200
78,2,2810
78,3,3500
79,0,3630
79,1,4200
79,2,2820
79,3,3490
80,0,3640
80,1,4200
80,2,2810
80,3,3510
81,0,3640
81,1,4200
81,2,2810
81,3,3500
82,0,3640
82,1,4200
82,2,2810
82,3,3500
83,0,3630
83,1,4200
83,2,2800
83,3,3500
84,0,3620
84,1,4200
84,2,2800
84,3,3500
85,0,3620
85,1,4200
85,2,2800
85,3,3500
86,0,3620
86,1,4200
86,2,2800
86,3,3500
87,0,3620
87,1,4200
87,2,2800
87,3,3500
88,0,3620
88,1,4180
88,2,2810
88,3,3500
89,0,3620
89,1,4190
89,2,2810
89,3,3490
90,0,3620
90,1,4190
90,2,2820
90,3,3500
91,0,3620
91,1,4200
91,2,2810
91,3,3500
92,0,3630
92,1,4200
92,2,2810
92,3,3490
93,0,3630
93,1,4190
93,2,2800
93,3,3500
94,0,3620
94,1,4180
94,2,2800
94,3,3490
95,0,3630
95,1,4190
95,2,2800
95,3,3490
96,0,3630
96,1,4200
96,2,2800
96,3,3490
97,0,3630
97,1,4200
97,2,2800
97,3,3490
98,0,3620
98,1,4190
98,2,2800
98,3,3500
99,0,3620
99,1,4180
99,2,2800
99,3,3510
100,0,3630
100,1,4190
100,2,2800
100,3,3510
101,0,3630
101,1,4190
101,2,2800
101,3,3510
102,0,3630
102,1,4200
102,2,2800
102,3,3510
103,0,3630
103,1,4190
103,2,2800
103,3,3510
104,0,3630
104,1,4190
104,2,2800
104,3,3510
105,0,3630
105,1,4200
105,2,2800
105,3,3510
106,0,3620
106,1,4200
106,2,2810
106,3,3500
107,0,3620
107,1,4190
107,2,2820
107,3,3500
108,0,3610
108,1,4190
108,2,2810
108,3,3500
109,0,3610
109,1,4200
109,2,2810
109,3,3510
110,0,3610
110,1,4200
110,2,2800
110,3,3510
111,0,3610
111,1,4200
111,2,2820
111,3,3510
112,0,3620
112,1,4200
112,2,2820
112,3,3510
113,0,3630
113,1,4210
113,2,2810
113,3,3500
114,0,3620
114,1,4210
114,2,2810
114,3,3480
115,0,3620
115,1,4200
115,2,2810
115,3,3490
116,0,3620
116,1,4200
116,2,2810
116,3,3500
117,0,3620
117,1,4200
117,2,2820
117,3,3490
118,0,3620
118,1,4210
118,2,2820
118,3,3500
119,0,3620
119,1,4210
119,2,2820
119,3,3500
120,0,3620
120,1,4200
120,2,2830
120,3,3490
121,0,3620
121,1,4210
121,2,2820
121,3,3500
122,0,3620
122,1,4200
122,2,2820
122,3,3490
123,0,3620
123,1,4190
123,2,2810
123,3,3500
124,0,3620
124,1,4180
124,2,2810
124,3,3500
125,0,3610
125,1,4180
125,2,2800
125,3,3500
126,0,3610
126,1,4190
126,2,2800
126,3,3500
127,0,3610
127,1,4200
127,2,2800
127,3,3490
128,0,3610
128,1,4200
128,2,2800
128,3,3500
129,0,3610
129,1,4190
129,2,2800
129,3,3490
130,0,3610
130,1,4200
130,2,2800
130,3,3490
131,0,3620
131,1,4210
131,2,2800
131,3,3500
132,0,3620
132,1,4210
132,2,2810
132,3,3500
133,0,3620
133,1,4210
133,2,2800
133,3,3490
134,0,3620
134,1,4200
134,2,2800
