数据序列,设备号,测量值
0,0,3550
0,1,1490
0,2,5700
0,3,4690
1,0,3550
1,1,1470
1,2,5700
1,3,4690
2,0,3550
2,1,1470
2,2,5690
2,3,4710
3,0,3550
3,1,1490
3,2,5690
3,3,4720
4,0,3560
4,1,1490
4,2,5690
4,3,4710
5,0,3560
5,1,1460
5,2,5690
5,3,4710
6,0,3560
6,1,1460
6,2,5690
6,3,4710
7,0,3560
7,1,1460
7,2,5690
7,3,4710
8,0,3560
8,1,1470
8,2,5690
8,3,4710
9,0,3560
9,1,1470
9,2,5690
9,3,4710
10,0,3560
10,1,1470
10,2,5690
10,3,4700
11,0,3560
11,1,1490
11,2,5690
11,3,4700
12,0,3560
12,1,1490
12,2,5690
12,3,4700
13,0,3560
13,1,1500
13,2,5690
13,3,4700
14,0,3550
14,1,1470
14,2,5690
14,3,4700
15,0,3550
15,1,1470
15,2,5690
15,3,4700
16,0,3560
16,1,1470
16,2,5690
16,3,4710
17,0,3560
17,1,1450
17,2,5690
17,3,4720
18,0,3560
18,1,1450
18,2,5700
18,3,4710
19,0,3560
19,1,1460
19,2,5700
19,3,4710
20,0,3550
20,1,1460
20,2,5700
20,3,4710
21,0,3550
21,1,1450
21,2,5700
21,3,4700
22,0,3550
22,1,1460
22,2,5700
22,3,4700
23,0,3550
23,1,1460
23,2,5700
23,3,4700
24,0,3550
24,1,1460
24,2,5700
24,3,4700
25,0,3560
25,1,1490
25,2,5700
25,3,4700
26,0,3560
26,1,1490
26,2,5700
26,3,4700
27,0,3570
27,1,1470
27,2,5700
27,3,4700
28,0,3570
28,1,1470
28,2,5700
28,3,4700
29,0,3550
29,1,1470
29,2,5700
29,3,4690
30,0,3550
30,1,1490
30,2,5700
30,3,4690
31,0,3550
31,1,1490
31,2,5700
31,3,4680
32,0,3550
32,1,1500
32,2,5700
32,3,4680
33,0,3550
33,1,1500
33,2,5690
33,3,4680
34,0,3550
34,1,1500
34,2,5690
34,3,4680
35,0,3550
35,1,1500
35,2,5680
35,3,4680
36,0,3550
36,1,1500
36,2,5680
36,3,4680
37,0,3560
37,1,1500
37,2,5680
37,3,4690
38,0,3560
38,1,1500
38,2,5690
38,3,4680
39,0,3560
39,1,1490
39,2,5690
39,3,4680
40,0,3560
40,1,1470
40,2,5690
40,3,4680
41,0,3560
41,1,1490
41,2,5690
41,3,4680
42,0,3560
42,1,1500
42,2,5690
42,3,4700
43,0,3550
43,1,1470
43,2,5690
43,3,4700
44,0,3550
44,1,1470
44,2,5690
44,3,4700
45,0,3550
45,1,1490
45,2,5690
45,3,4710
46,0,3550
46,1,1470
46,2,5700
46,3,4710
47,0,3560
47,1,1470
47,2,5700
47,3,4710
48,0,3560
48,1,1460
48,2,5700
48,3,4700
49,0,3560
49,1,1490
49,2,5700
49,3,4710
50,0,3560
50,1,1500
50,2,5700
50,3,4710
51,0,3560
51,1,1490
51,2,5700
51,3,4710
52,0,3560
52,1,1490
52,2,5700
52,3,4700
53,0,3560
53,1,1490
53,2,5700
53,3,4700
54,0,3560
54,1,1470
54,2,5700
54,3,4700
55,0,3570
55,1,1470
55,2,5700
55,3,4700
56,0,3570
56,1,1470
56,2,5700
56,3,4700
57,0,3570
57,1,1470
57,2,5700
57,3,4700
58,0,3570
58,1,1460
58,2,5700
58,3,4690
59,0,3570
59,1,1460
59,2,5690
59,3,4690
60,0,3570
60,1,1450
60,2,5690
60,3,4700
61,0,3570
61,1,1450
61,2,5690
61,3,4700
62,0,3560
62,1,1460
62,2,5690
62,3,4700
63,0,3560
63,1,1460
63,2,5690
63,3,4710
64,0,3560
64,1,1450
64,2,5690
64,3,4690
65,0,3560
65,1,1460
65,2,5690
65,3,4690
66,0,3570
66,1,1460
66,2,5690
66,3,4680
67,0,3570
67,1,1460
67,2,5690
67,3,4690
68,0,3560
68,1,1490
68,2,5690
68,3,4700
69,0,3550
69,1,1490
69,2,5690
69,3,4690
70,0,3550
70,1,1490
70,2,5690
70,3,4710
71,0,3550
71,1,1490
71,2,5690
71,3,4710
72,0,3560
72,1,1490
72,2,5690
72,3,4720
73,0,3560
73,1,1490
73,2,5690
73,3,4710
74,0,3560
74,1,1490
74,2,5690
74,3,4710
75,0,3560
75,1,1470
75,2,5680
75,3,4710
76,0,3560
76,1,1470
76,2,5690
76,3,4710
77,0,3560
77,1,1470
77,2,5690
77,3,4710
78,0,3560
78,1,1470
78,2,5690
